complexity,scale,repeatability,CI,pred,lwr,upr,type
original,original,94.8%,90.4-96.9%,94.8355647055968,90.446394834828,96.9060604679606,between observers
original,log10,96%,92.1-97.6%,95.9992287144458,92.1043491008988,97.6363218481067,between observers
original,original,81.1%,80.2-81.8%,81.0627623144644,80.2004044885874,81.7744148887492,within species
original,log10,83.8%,83.1-84.5%,83.8114925196675,83.1446584278629,84.4960218954641,within species
extrapolated,original,81.1%,80.4-81.8%,81.1246433288815,80.3522908553622,81.7973600772327,within species
extrapolated,log10,83.1%,82.4-83.8%,83.1391399598632,82.4035587691924,83.8329753444263,within species
