Binomial,Sex,VolumeUVS,VolumeVS,LociUVS,LociVS,MidpointLat,Temp,Precip,NPP,SolarRad,UVB,BodyMass,Dichro,ForestDep,FruitNect,Migratory,GroundNest,Territorial,CoexistSpp,MatingSys
Acanthiza_uropygialis,M,0.000618444,0.000586384,65.65476292,59.26435053,-34.36539469,201.9836106,338.9039321,2137.252349,244517.286,4311.493378,71.82869729,0,0,0,0,0,1,71.85888078,0
Acanthiza_uropygialis,F,0.001015971,0.0007913,85.49770294,74.44196191,-34.36539469,201.9836106,338.9039321,2137.252349,244517.286,4311.493378,71.82869729,0,0,0,0,0,1,71.85888078,0
Acanthorhynchus_superciliosus,M,0.000769071,0.000633249,94.77241923,74.93683571,-39.69009303,167.1384905,585.5476296,7237.247643,227466.2744,3696.962163,188.0120211,0.8,1,1,0,0,1,71.25510204,NA
Acanthorhynchus_superciliosus,F,0.000518765,0.000401268,64,55,-39.69009303,167.1384905,585.5476296,7237.247643,227466.2744,3696.962163,188.0120211,0.8,1,1,0,0,1,71.25510204,NA
Acanthorhynchus_tenuirostris,M,0.000859942,0.000799626,97.14245551,78.84807634,-38.78907712,161.296311,934.1044603,9065.408194,207660.9299,3568.27467,221.6381834,0.4,1,1,0,0,1,104.0638767,0
Acanthorhynchus_tenuirostris,F,0.000921995,0.000734179,99.969991,83.15228249,-38.78907712,161.296311,934.1044603,9065.408194,207660.9299,3568.27467,221.6381834,0.4,1,1,0,0,1,104.0638767,0
Achaetops_pycnopygius,M,0.000527805,0.00061377,77.38053046,73.50337035,-23.05316084,209.1981174,400.1232565,2899.068198,230472.8912,5447.007152,2202.225591,0,0,0,0,0,1,103.2672811,NA
Achaetops_pycnopygius,F,0.000338621,0.000341577,75.99342077,64.96922348,-23.05316084,209.1981174,400.1232565,2899.068198,230472.8912,5447.007152,2202.225591,0,0,0,0,0,1,103.2672811,NA
Acridotheres_albocinctus,M,0.000657471,0.000504462,68.58803748,53.76625072,28.9544327,217.9906529,1617.947398,9643.478433,210792.5051,4562.146743,34562.32439,0,0,0,0,0,0,212.2515723,NA
Acridotheres_albocinctus,F,0.000702508,0.00043615,59.88496477,48.33104494,28.9544327,217.9906529,1617.947398,9643.478433,210792.5051,4562.146743,34562.32439,0,0,0,0,0,0,212.2515723,NA
Acridotheres_cinereus,M,0.000485251,0.000431388,54.67174773,43.8178046,-8.806480183,255.1629768,2387.176321,9109.60225,213981.0137,5507.93316,34562.32439,0,0,1,1,0,0,106.7326733,NA
Acridotheres_cinereus,F,0.000620992,0.000452624,64.39550012,52.39565063,-8.806480183,255.1629768,2387.176321,9109.60225,213981.0137,5507.93316,34562.32439,0,0,1,1,0,0,106.7326733,NA
Acridotheres_cristatellus,M,0.000432574,0.000431853,55.90459947,46.59098845,32.19088412,174.4510157,1379.195921,7062.235258,175115.1433,3740.53338,57050.44548,0,0,0,1,0,0,143.9832484,NA
Acridotheres_cristatellus,F,0.000442738,0.000322635,55.53613425,45.51651777,32.19088412,174.4510157,1379.195921,7062.235258,175115.1433,3740.53338,57050.44548,0,0,0,1,0,0,143.9832484,NA
Acridotheres_fuscus,M,0.000662685,0.000523818,58.6201781,44.8472185,25.95801827,247.0076377,1714.53022,5416.371849,222111.1156,4658.536241,26087.23563,0,1,0,1,0,0,124.0749396,NA
Acridotheres_fuscus,F,0.000594243,0.000383552,63.43944048,49.62384389,25.95801827,247.0076377,1714.53022,5416.371849,222111.1156,4658.536241,26087.23563,0,1,0,1,0,0,124.0749396,NA
Acridotheres_ginginianus,M,0.000584061,0.000509233,73.99622576,64.28970228,31.72713912,252.8307638,963.3485488,2985.139993,228466.9782,4434.574003,18908.89364,0,0,0,1,0,0,83.86155748,NA
Acridotheres_ginginianus,F,0.000631466,0.000483598,71.28930426,62.65418996,31.72713912,252.8307638,963.3485488,2985.139993,228466.9782,4434.574003,18908.89364,0,0,0,1,0,0,83.86155748,NA
Acridotheres_grandis,M,0.000994045,0.000798566,66.59148469,53.86776056,22.23410205,244.6717812,1906.800654,7754.884796,213573.1363,4779.802196,39283.51549,0,0,0,0,0,0,160.5667752,NA
