i,address,lat,long
265,"El Porvenir, Tierra del Fuego, XII Region,Chile",-53.6054404,-68.7453344
266,"Laguna Verde-Tierra del Fuego, XII Region,Chile",-53.1847833,-70.3344052947995
267,"Rio Grande, Tierra del Fuego,Argentina",-53.7856766,-67.7016369
268,"Magallanes, XII Region,Chile",-53.14279595,-70.9069457481665
270,"Punta de Tralca, V Region, Valparaiso,Chile",-33.4254016,-71.6917407
273,"Presa Vicente Guerrero, Tamaulipas,Mexico",23.9319743,-98.7359106269537
275,"Laguna Cuitzeo, Michoacan,Mexico",19.93472165,-101.230762205176
285,"Chuspipata, La Paz,Bolivia",-16.2991132,-67.8189062
289,"Cundinamarca,Colombia",5.1096596,-74.0995854
293,"Reserva Jorupe, Macara, Loja,Ecuador",-4.3782675,-79.8993353
295,"Ciudad de Vera, Santa Fe,Argentina",-31.6606666,-60.7114384458703
296,"Gravataí, RS,Brazil",-29.9440222,-50.9930938
297,"Marmarajá,Lavalleja,Uruguay",-34.2596444,-54.9546278
303,"Barracão, Gaspar, Santa Catarina,Brazil",-26.9868581,-48.8766108
305,"sattal,India",29.3469634,79.5298616
309,"Amazonas,Peru",-5,-78
310,"Bolivar state,Venezuela",6.333333,-63.5
314,"Doi Lang, Chiang Mai,Thailand",20.0994969,99.2951394
315,"N/A,Brazil",-22.42400085,-45.4829997298985
319,"Camp Caïman - Roura,French Guiana",4.56982435,-52.216728017447
323,"El Ocote,Mexico",18.9090827,-100.1018795
324,"Montagne de Fer - Mana,French Guiana",5.3420626,-53.5437602
326,"Rio das Mortes, Mato Grosso,Brazil",-14.6728917,-52.3599708
329,"sattal uttarakhand,India",29.3469634,79.5298616
331,"Huila, San Agustin,Colombia",1.6784777,-76.3438023
338,"Ciudad de Formosa, Formosa,Argentina",-25.2067845,-59.8527572
342,"Rio Negro,Argentina",-40.4811973,-67.6145911
349,"Monggar,Bhutan",27.27412905,91.2574639304428
356,"Parque Natural Cocuy,Colombia",6.5154361,-72.1235795576598
364,"Waikoloa Hawaii,USA",19.94256305,-155.786490354772
365,"Montagne des chevaux - Roura,French Guiana",4.7152104,-52.4048266
367,"Jiuding Shan, Sichuan,China",31.5562663,103.840742
373,"cidra,Puerto Rico",18.1757164,-66.1609235
376,"PN Calilegua, Jujuy,Argentina",-23.761778,-64.8507823
379,"O'Higgins, Magallanes, XII Region,Chile",-54.9350633,-67.600339
384,"Gotas de Agua, Jaen, Cajamarca,Peru",-5.6850915,-78.7679122603961
386,"Leopoldo de Bulhões, Goiás.,Brazil",-16.6190479,-48.742755
389,"Tilcara, Jujuy,Argentina",-23.5767908,-65.393396
392,"Batuco, Region Metropolitana,Chile",-33.2300466,-70.8085254
402,"Kyoto Botanical Garden, Kyoto Prefecture,Japan",35.0482929,135.76298312798
406,"PN Lanin, Neuquen,Argentina",-38.9365506,-69.1916465
412,"Villa de Leyva, Boyaca,Colombia",5.6619877,-73.528380103602
413,"Fuentes Georginas, Zunil,Guatemala",14.74874735,-91.4794609277201
415,"Sela, Arunachal Pradesh,India",27.5035347,92.1044709
421,"ANDERSEN SOUTH,Guam",13.51086345,144.864350616247
422,"YLIG, Guam, ,Guam",13.3907028,144.7694699
427,"east of Kingston,Jamaica",17.9487363,-76.6898333
429,"Tapantí­ National Park Cartago,Costa Rica",9.749137,-83.7818824
430,"La Fria (Tachira),Venezuela",8.2118501,-72.2536276
433,"Rocklands, Saint James,Jamaica",18.4270085,-77.9418181
443,"River Dawa,Ethiopia",9.6242733,41.7908782
444,"Gentio do Ouro, Bahia.,Brazil",-11.4302137,-42.5063185
447,"Pelechuco, La Paz, BO,Bolivia",-14.8193074,-69.0707755
452,"Punakha,Bhutan",27.6685526,89.7089548
456,"Nug-as, Alcoy, Cebu,Philippines",9.7163131,123.4319421
457,"Siquijor Island,Philippines",9.13085045,123.60827224639
461,"Dibru-Saikhowa National Park, Assam,India",27.68552085,95.3947507474052
463,"Palmeira dos Indios, Alagoas,Brazil",-9.4076249,-36.6323616
464,"Sento Sé, Bahia.,Brazil",-9.7406436,-41.8830056
465,"POLIPOLI SPRINGS Maui, Hawaii,USA",20.6774389,-156.330020584063
469,"Stockholm, Aroostook Co., Maine,USA",47.042522,-68.139954
470,"Mawphlang,India",25.5131454,91.7595922753049
471,"Sattal,India",29.3469634,79.5298616
472,"N/A,Tanzania",-6.91662095,39.3202268151818
473,"Rajasthan,India",26.8105777,73.7684549
481,"Yala, Jujuy,Argentina",-24.121316,-65.4017626
483,"Yavi Chico, Jujuy,Argentina",-22.0985845,-65.45747
490,"Parque Nacional de Aparados da Serra,Brazil",-29.1802358,-50.0807095529035
496,"Putre, Parinacota, I Region,Chile",-18.1963825,-69.5592242
502,"PN Ybyturuzu, Central,Paraguay",-25.4034104,-57.5807616
505,"PN Iguazu, Misiones,Argentina",-25.7313648,-54.4763216
511,"Naltar,Pakistan",36.1657079,74.1769273
513,"Xining Qinghai province,China",36.6177692,101.8051193
514,"Varzob District, Districts of Republican Subordination,Tajikistan",38.8312863,68.8297572621148
515,"Khao Yai, Thailand,Thailand",12.8737389,100.9434383
516,"Deothang,Bhutan",26.8625795,91.4730839
518,"Purmamarca, Jujuy,Argentina",-23.7461326,-65.4991577
521,"Icho Cruz, Cordoba,Argentina",-31.483333,-64.566667
531,"Piste Coralie - Roura,French Guiana",4.5136715,-52.3596729
532,"Rio Mapia, Borba, Amazonas,Brazil",-4.3981811,-59.5992574
533,"Somotillo, Chinandega.,Nicaragua",13.0445947,-86.9050544
538,"Campo Maria, Presidente Hayes,Paraguay",-22.6231047,-59.3500877561344
