scinam,syid
oxyura australis,244
oxyura maccoa,245
oxyura leucocephala,246
biziura lobata,247
alectura lathami,248
aepypodius arfakianus,249
aepypodius bruijnii,250
talegalla cuvieri,251
phaethornis porcullae,2960
talegalla fuscirostris,252
talegalla jobiensis,253
leipoa ocellata,254
macrocephalon maleo,255
eulipoa wallacei,256
megapodius wallacei,256
megapodius pritchardii,257
megapodius laperouse,258
megapodius nicobariensis,259
megapodius cumingii,260
megapodius bernsteinii,261
megapodius tenimberensis,262
megapodius freycinet,263
megapodius forsteni,264
megapodius forstenii,264
megapodius geelvinkianus,265
megapodius eremita,266
megapodius layardi,267
megapodius affinis,268
megapodius decollatus,268
megapodius reinwardt,269
ortalis vetula,270
ortalis cinereiceps,271
ortalis garrula,272
ortalis ruficauda,273
ortalis ruficrissa,274
ortalis erythroptera,275
ortalis wagleri,276
ortalis poliocephala,277
ortalis canicollis,278
ortalis leucogastra,279
ortalis guttata,280
ortalis araucuan,281
ortalis squamata,282
ortalis columbiana,283
ortalis motmot,284
ortalis ruficeps,285
ortalis superciliaris,286
ortalis spixi,287
penelope argyrotis,288
penelope barbata,289
penelope ortoni,290
penelope montagnii,291
penelope marail,292
penelope superciliaris,293
penelope dabbenei,294
penelope nigrifrons,294
penelope purpurascens,295
penelope perspicax,296
penelope albipennis,297
penelope jacquacu,298
penelope obscura,299
penelope pileata,300
penelope ochrogaster,301
penelope jacu-caca,302
penelope jacucaca,302
aburria pipile,303
pipile pipile,303
pipile cumanensis,304
aburria cujubi,305
pipile cujubi,305
aburria jacutinga,306
pipile jacutinga,306
aburria aburri,307
chamaepetes unicolor,308
chamaepetes goudotii,309
penelopina nigra,310
oreophasis derbianus,311
nothocrax urumutum,312
mitu tomentosa,313
mitu tomentosum,313
pauxi tomentosa,313
mitu salvini,314
pauxi salvini,314
mitu tuberosa,315
mitu tuberosum,315
pauxi tuberosa,315
mitu mitu,316
pauxi mitu,316
pauxi pauxi,317
pauxi unicornis,318
pauxi koepckeae,319
crax rubra,320
crax alberti,321
crax daubentoni,322
crax alector,323
crax nigra,323
crax globulosa,324
crax fasciolata,325
crax pinima,326
crax blumenbachii,327
agelastes meleagrides,328
agelastes niger,329
phasidus niger,329
numida meleagris,330
guttera plumifera,331
guttera pucherani,332
guttera edouardi,333
acryllium vulturinum,334
ptilopachus petrosus,335
francolinus nahani,336
ptilopachus nahani,336
dendrortyx barbatus,337
dendrortyx macroura,338
dendrortyx leucophrys,339
dendrortyx hypospodius,340
oreortyx picta,341
oreortyx pictus,341
callipepla squamata,342
callipepla douglasii,343
lophortyx douglasii,343
callipepla californica,344
lophortyx californica,344
callipepla gambelii,345
lophortyx gambelii,345
lophortyx leucoprosopon,346
philortyx fasciatus,347
colinus virginianus,348
colinus nigrogularis,349
colinus leucopogon,350
colinus cristatus,351
odontophorus gujanensis,352
casmerodius albus,877
odontophorus capueira,353
odontophorus melanotis,354
odontophorus erythrops,355
odontophorus parambae,356
odontophorus atrifrons,357
odontophorus hyperythrus,358
odontophorus melanonotus,359
odontophorus speciosus,360
odontophorus loricatus,362
odontophorus dialeucos,363
odontophorus strophium,364
odontophorus columbianus,365
odontophorus leucolaemus,366
odontophorus balliviani,367
odontophorus stellatus,368
odontophorus guttatus,369
dactylortyx thoracicus,370
cyrtonyx montezumae,371
cyrtonyx sallei,372
cyrtonyx ocellatus,373
rhynchortyx cinctus,374
meleagris gallopavo,375
agriocharis ocellata,376
meleagris ocellata,376
bonasa umbellus,377
bonasa bonasia,378
tetrastes bonasia,378
bonasa sewerzowi,379
tetrastes sewerzowi,379
dendragapus falcipennis,380
falcipennis falcipennis,380
canachites canadensis,381
dendragapus canadensis,381
falcipennis canadensis,381
canachites franklinii,382
tetrao urogallus,383
tetrao parvirostris,384
tetrao urogalloides,384
lyrurus tetrix,385
tetrao tetrix,385
lyrurus mlokosiewiczi,386
tetrao mlokosiewiczi,386
centrocercus urophasianus,387
centrocercus minimus,388
dendragapus obscurus,389
dendragapus fuliginosus,390
pedioecetes phasianellus,391
tympanuchus phasianellus,391
tympanuchus pallidicinctus,392
tympanuchus cupido,393
lagopus leucura,394
lagopus leucurus,394
lagopus muta,395
lagopus mutus,395
lagopus lagopus,396
lagopus scoticus,397
lerwa lerwa,398
tetraophasis obscurus,399
tetraophasis szechenyii,400
tetraogallus caucasicus,401
tetraogallus caspius,402
francolinus jacksoni,443
tetraogallus himalayensis,403
tetraogallus tibetanus,404
tetraogallus altaicus,405
alectoris graeca,406
alectoris chukar,407
alectoris magna,408
alectoris philbyi,409
alectoris barbara,410
alectoris rufa,411
alectoris melanocephala,412
ammoperdix griseogularis,413
ammoperdix heyi,414
francolinus francolinus,415
francolinus pictus,416
francolinus pintadeanus,417
francolinus pondicerianus,418
francolinus gularis,419
francolinus lathami,420
peliperdix lathami,420
francolinus coqui,421
peliperdix coqui,421
scleroptila coqui,421
francolinus albogularis,422
peliperdix albogularis,422
scleroptila albogularis,422
francolinus schlegelii,423
peliperdix schlegelii,423
scleroptila schlegelii,423
francolinus streptophorus,424
scleroptila streptophora,424
francolinus africanus,425
scleroptila afra,425
francolinus levaillantii,426
scleroptila levaillantii,426
francolinus finschi,427
scleroptila finschi,427
francolinus shelleyi,428
scleroptila shelleyi,428
francolinus psilolaemus,429
scleroptila psilolaema,429
francolinus gariepensis,430
francolinus levaillantoides,430
scleroptila gutturalis,430
dendroperdix sephaena,431
francolinus sephaena,431
francolinus squamatus,432
pternistis squamatus,432
francolinus ahantensis,433
pternistis ahantensis,433
francolinus griseo-striatus,434
francolinus griseostriatus,434
pternistis griseostriatus,434
francolinus hildebrandti,435
pternistis hildebrandti,435
francolinus bicalcaratus,436
pternistis bicalcaratus,436
francolinus icterorhynchus,437
pternistis icterorhynchus,437
francolinus clappertoni,438
pternistis clappertoni,438
francolinus harwoodi,439
pternistis harwoodi,439
francolinus swierstrai,440
pternistis swierstrai,440
francolinus camerunensis,441
pternistis camerunensis,441
francolinus nobilis,442
pternistis nobilis,442
egretta alba,877
pternistis jacksoni,443
francolinus castaneicollis,444
pternistis castaneicollis,444
francolinus atrifrons,445
francolinus ochropectus,446
pternistis ochropectus,446
francolinus erckelii,447
pternistis erckelii,447
francolinus hartlaubi,448
pternistis hartlaubi,448
francolinus adspersus,449
pternistis adspersus,449
francolinus capensis,450
pternistis capensis,450
francolinus natalensis,451
pternistis natalensis,451
francolinus leucoscepus,452
pternistis leucoscepus,452
francolinus rufopictus,453
pternistis rufopictus,453
francolinus afer,454
pternistis afer,454
francolinus swainsonii,455
pternistis swainsonii,455
perdix perdix,456
perdix barbata,457
perdix dauurica,457
perdix hodgsoniae,458
rhizothera longirostris,459
rhizothera dulitensis,460
margaroperdix madagarensis,461
margaroperdix madagascarensis,461
margaroperdix madagascariensis,461
melanoperdix niger,462
melanoperdix nigra,462
coturnix coturnix,463
coturnix japonica,464
coturnix coromandelica,465
coturnix delegorguei,466
coturnix pectoralis,467
coturnix novae-zelandiae,468
coturnix novaezelandiae,468
coturnix ypsilophora,469
synoicus ypsilophorus,469
coturnix chinensis,470
excalfactoria chinensis,470
synoicus chinensis,470
coturnix adansonii,471
excalfactoria adansonii,471
synoicus adansonii,471
anurophasis monorthonyx,472
perdicula asiatica,473
perdicula argoondah,474
cryptoplectron erythrorhynchum,475
perdicula erythrorhyncha,475
cryptoplectron manipurensis,476
perdicula manipurensis,476
ophrysia superciliosa,477
xenoperdix udzungwensis,478
xenoperdix obscurata,479
xenoperdix obscuratus,479
arborophila torqueola,480
arborophila rufogularis,481
arborophila atrogularis,482
arborophila crudigularis,483
arborophila mandellii,484
arborophila brunneopectus,485
arborophila rufipectus,486
arborophila gingica,487
arborophila davidi,488
arborophila cambodiana,489
arborophila diversa,490
arborophila campbelli,491
arborophila rolli,492
arborophila sumatrana,493
arborophila orientalis,494
arborophila javanica,495
arborophila rubrirostris,496
arborophila hyperythra,497
arborophila ardens,498
arborophila charltonii,499
tropicoperdix charltonii,499
arborophila chloropus,500
tropicoperdix chloropus,500
arborophila merlini,501
tropicoperdix merlini,501
caloperdix oculea,502
caloperdix oculeus,502
haematortyx sanguiniceps,503
rollulus rouloul,504
rollulus roulroul,504
bambusicola fytchii,505
bambusicola thoracica,506
bambusicola thoracicus,506
galloperdix spadicea,507
galloperdix lunulata,508
galloperdix bicalcarata,509
ithaginis cruentus,510
tragopan melanocephalus,511
tragopan satyra,512
tragopan blythii,513
tragopan temminckii,514
tragopan caboti,515
pucrasia macrolopha,516
lophophorus impejanus,517
lophophorus sclateri,518
lophophorus lhuysii,519
gallus gallus,520
gallus sonneratii,521
gallus lafayetii,522
gallus lafayettii,522
gallus varius,523
gennaeus leucomelanos,524
lophura leucomelanos,524
gennaeus horsfieldii,525
gennaeus lineatus,526
gennaeus nycthemerus,527
lophura nycthemera,527
hierophasis imperialis,528
lophura imperialis,528
hierophasis edwardsi,529
lophura edwardsi,529
lophura hatinhensis,530
hierophasis swinhoii,531
lophura swinhoii,531
lophura hoogerwerfi,532
houppifer inornatus,533
lophura inornata,533
houppifer erythrophthalmus,534
lophura erythrophthalma,534
eudyptula novaehollandiae,585
lophura ignita,535
lophura rufa,536
diardigallus diardi,537
lophura diardi,537
lobiophasis bulweri,538
lophura bulweri,538
crossoptilon crossoptilon,539
crossoptilon harmani,540
crossoptilon mantchuricum,541
crossoptilon auritum,542
catreus wallichi,543
catreus wallichii,543
syrmaticus ellioti,544
syrmaticus humiae,545
syrmaticus mikado,546
syrmaticus soemmerringii,547
syrmaticus reevesii,548
phasianus colchicus,549
phasianus versicolor,550
chrysolophus pictus,551
chrysolophus amherstiae,552
chalcurus chalcurus,553
polyplectron chalcurum,553
chalcurus inopinatus,554
polyplectron inopinatum,554
polyplectron germaini,555
polyplectron bicalcaratum,556
polyplectron katsumatae,557
polyplectron malacense,558
polyplectron malacensis,558
polyplectron schleiermacheri,559
polyplectron emphanum,560
polyplectron napoleonis,560
rheinardia ocellata,561
argusianus argus,562
pavo cristatus,563
pavo muticus,564
afropavo congensis,565
gavia stellata,566
gavia arctica,567
gavia pacifica,568
gavia immer,569
gavia adamsii,570
aptenodytes patagonicus,571
aptenodytes forsteri,572
pygoscelis papua,573
pygoscelis adeliae,574
pygoscelis antarctica,575
pygoscelis antarcticus,575
eudyptes pachyrhynchus,576
eudyptes robustus,577
eudyptes sclateri,578
eudyptes chrysocome,579
eudyptes moseleyi,580
eudyptes schlegeli,581
eudyptes chrysolophus,582
megadyptes antipodes,583
eudyptula minor,584
spheniscus demersus,586
spheniscus magellanicus,587
spheniscus humboldti,588
spheniscus mendiculus,589
diomedea immutabilis,590
phoebastria immutabilis,590
diomedea nigripes,591
phoebastria nigripes,591
diomedea irrorata,592
phoebastria irrorata,592
diomedea albatrus,593
phoebastria albatrus,593
diomedea exulans,594
diomedea antipodensis,595
diomedea amsterdamensis,596
diomedea dabbenena,597
diomedea epomophora,598
diomedea sanfordi,599
phoebetria fusca,600
phoebetria palpebrata,601
diomedea melanophris,602
diomedea melanophrys,602
thalassarche melanophris,602
thalassarche melanophrys,602
thalassarche impavida,603
diomedea cauta,604
thalassarche cauta,604
thalassarche steadi,605
thalassarche eremita,606
thalassarche salvini,607
diomedea chrysostoma,608
thalassarche chrysostoma,608
diomedea chlororhynchos,609
thalassarche chlororhynchos,609
thalassarche carteri,610
diomedea bulleri,611
thalassarche bulleri,611
macronectes giganteus,612
macronectes halli,613
fulmarus glacialis,614
fulmarus rodgersii,615
fulmarus glacialoides,616
thalassoica antarctica,617
daption capense,618
pagodroma nivea,619
halobaena caerulea,620
pachyptila vittata,621
pachyptila salvini,622
pachyptila desolata,623
pachyptila belcheri,624
pachyptila turtur,625
pachyptila crassirostris,626
aphrodroma brevirostris,627
lugensa brevirostris,627
pterodroma brevirostris,627
pterodroma macroptera,628
pterodroma lessonii,629
pterodroma incerta,630
pterodroma solandri,631
pterodroma magentae,632
pterodroma ultima,633
pterodroma mollis,634
oceanodroma homochroa,728
pterodroma madeira,635
pterodroma feae,636
pterodroma deserta,637
pterodroma cahow,638
pterodroma hasitata,639
pterodroma caribbaea,640
pterodroma externa,641
pterodroma occulta,642
pterodroma neglecta,643
pterodroma heraldica,644
pterodroma arminjoniana,645
pterodroma atrata,646
pterodroma alba,647
pterodroma baraui,648
pterodroma sandwichensis,649
pterodroma phaeopygia,650
pterodroma inexpectata,651
pterodroma cervicalis,652
pterodroma nigripennis,653
pterodroma axillaris,654
pterodroma hypoleuca,655
pterodroma leucoptera,656
pterodroma brevipes,657
pterodroma cookii,658
pterodroma defilippiana,659
pterodroma longirostris,660
pterodroma pycrofti,661
pseudobulweria aterrima,662
pterodroma aterrima,662
pseudobulweria rupinarum,663
pterodroma rupinarum,663
pseudobulweria rostrata,664
pterodroma rostrata,664
pseudobulweria becki,665
pterodroma becki,665
pseudobulweria macgillivrayi,666
pterodroma macgillivrayi,666
procellaria cinerea,667
procellaria aequinoctialis,668
procellaria conspicillata,669
procellaria parkinsoni,670
procellaria westlandica,671
calonectris leucomelas,672
calonectris diomedea,673
calonectris borealis,674
calonectris edwardsii,675
ardenna pacifica,676
puffinus pacificus,676
ardenna bulleri,677
puffinus bulleri,677
ardenna grisea,678
puffinus griseus,678
ardenna tenuirostris,679
puffinus tenuirostris,679
ardenna creatopa,680
ardenna creatopus,680
puffinus creatopus,680
ardenna carneipes,681
puffinus carneipes,681
ardenna gravis,682
puffinus gravis,682
cymochorea hornbyi,729
puffinus nativitatis,683
puffinus puffinus,684
puffinus yelkouan,685
puffinus mauretanicus,686
puffinus bryani,687
puffinus opisthomelas,688
puffinus auricularis,689
puffinus newelli,690
puffinus gavia,691
puffinus huttoni,692
puffinus lherminieri,693
puffinus persicus,694
puffinus bailloni,695
puffinus subalaris,696
puffinus bannermani,697
puffinus heinrothi,698
puffinus assimilis,699
puffinus baroli,700
puffinus boydi,701
bulweria bulwerii,702
bulweria bifax,703
bulweria fallax,704
oceanites oceanicus,705
oceanites gracilis,706
oceanites pincoyae,707
garrodia nereis,708
pelagodroma marina,709
fregetta grallaria,710
fregetta tropica,711
fregetta maoriana,712
oceanites maorianus,712
nesofregetta fuliginosa,713
hydrobates pelagicus,714
halocyptena microsoma,715
hydrobates microsoma,715
oceanodroma microsoma,715
halocyptena tethys,716
hydrobates tethys,716
oceanodroma tethys,716
hydrobates castro,717
oceanodroma castro,717
thalobata castro,717
hydrobates monteiroi,718
oceanodroma monteiroi,718
thalobata monteiroi,718
oceanodroma jabejabe,719
thalobata jabejabe,719
thalobata cryptoleucura,720
cymochorea monorhis,721
hydrobates monorhis,721
oceanodroma monorhis,721
cymochorea leucorhoa,722
hydrobates leucorhous,722
oceanodroma leucorhoa,722
cymochorea markhami,723
hydrobates markhami,723
oceanodroma markhami,723
cymochorea tristrami,724
hydrobates tristrami,724
oceanodroma tristrami,724
halocyptena melania,725
hydrobates melania,725
oceanodroma melania,725
cymochorea macrodactyla,726
hydrobates macrodactylus,726
oceanodroma macrodactyla,726
halocyptena matsudairae,727
hydrobates matsudairae,727
oceanodroma matsudairae,727
cymochorea homochroa,728
hydrobates homochroa,728
casmerodius egretta,878
oceanodroma hornbyi,729
hydrobates furcatus,730
oceanodroma furcata,730
pelecanoides garnotii,731
pelecanoides magellani,732
pelecanoides georgicus,733
pelecanoides urinator,734
pelecanoides urinatrix,734
tachybaptus rufolavatus,735
tachybaptus ruficollis,736
tachybaptus tricolor,737
tachybaptus novaehollandiae,738
tachybaptus pelzelnii,739
tachybaptus dominicus,740
podilymbus podiceps,741
podilymbus gigas,742
rollandia rolland,743
rollandia microptera,744
poliocephalus poliocephalus,745
poliocephalus rufopectus,746
podicephorus major,747
podiceps major,747
podiceps grisegena,748
podiceps cristatus,749
podiceps auritus,750
podiceps nigricollis,751
podiceps andinus,752
podiceps occipitalis,753
podiceps taczanowskii,754
podiceps gallardoi,755
aechmophorus occidentalis,756
aechmophorus clarkii,757
phoenicopterus roseus,758
phoenicopterus ruber,759
phoenicopterus chilensis,760
phoeniconaias minor,761
phoenicopterus minor,761
phoenicoparrus andinus,762
phoenicopterus andinus,762
phoenicoparrus jamesi,763
phoenicopterus jamesi,763
phaethon aethereus,764
phaethon rubricauda,765
phaethon lepturus,766
mycteria americana,767
mycteria cinerea,768
mycteria ibis,769
mycteria leucocephala,770
anastomus oscitans,771
anastomus lamelligerus,772
ciconia nigra,773
ciconia abdimii,774
ciconia episcopus,775
ciconia stormi,776
ciconia maguari,777
buteo polyosoma,1198
ciconia ciconia,778
ciconia boyciana,779
ephippiorhynchus asiaticus,780
ephippiorhynchus senegalensis,781
jabiru mycteria,782
leptoptilos javanicus,783
leptoptilos dubius,784
leptoptilos dubuis,784
leptoptilos crumenifer,785
leptoptilos crumeniferus,785
threskiornis aethiopicus,786
threskiornis bernieri,787
raphus solitarius,788
threskiornis solitarius,788
threskiornis melanocephalus,789
threskiornis molucca,790
threskiornis moluccus,790
threskiornis spinicollis,791
pseudibis papillosa,792
pseudibis davisoni,793
pseudibis gigantea,794
thaumatibis gigantea,794
geronticus eremita,795
geronticus calvus,796
nipponia nippon,797
bostrychia olivacea,798
bostrychia bocagei,799
bostrychia rara,800
bostrychia hagedash,801
bostrychia carunculata,802
theristicus caerulescens,803
theristicus caudatus,804
theristicus melanopis,805
theristicus branickii,806
cercibis oxycerca,807
mesembrinibis cayennensis,808
