scinam,syid
microgoura meeki,2074
otidiphaps nobilis,2075
goura cristata,2076
goura scheepmakeri,2077
goura victoria,2078
raphus cucullatus,2079
pezophaps solitaria,2080
didunculus strigirostris,2081
phapitreron leucotis,2082
phapitreron amethystina,2083
phapitreron amethystinus,2083
phapitreron cinereiceps,2084
phapitreron brunneiceps,2085
treron fulvicollis,2086
treron olax,2087
treron vernans,2088
treron bicincta,2089
treron bicinctus,2089
treron pompadora,2090
treron affinis,2091
treron aromaticus,2095
treron curvirostra,2096
treron griseicauda,2097
treron teysmannii,2098
treron floris,2099
treron psittacea,2100
treron psittaceus,2100
butreron capellei,2101
treron capellei,2101
treron phoenicoptera,2102
treron phoenicopterus,2102
treron waalia,2103
treron australis,2104
treron griveaudi,2105
treron calva,2106
treron calvus,2106
treron delalandii,2107
treron pembaensis,2108
treron s. thomae,2109
treron sanctithomae,2109
sphenurus apicauda,2110
treron apicauda,2110
sphenurus oxyura,2111
treron oxyura,2111
treron oxyurus,2111
sphenurus seimundi,2112
treron seimundi,2112
sphenurus sphenurus,2113
treron sphenura,2113
treron sphenurus,2113
sphenurus korthalsi,2114
sphenurus sieboldii,2115
treron sieboldii,2115
sphenurus formosae,2116
treron formosae,2116
leucotreron cincta,2117
ptilinopus cinctus,2117
ptilinopus alligator,2118
leucotreron dohertyi,2119
ptilinopus dohertyi,2119
leucotreron porphyrea,2120
ptilinopus porphyreus,2120
leucotreron marchei,2121
ptilinopus marchei,2121
leucotreron merrilli,2122
ptilinopus merrilli,2122
leucotreron occipitalis,2123
ptilinopus occipitalis,2123
leucotreron fischeri,2124
ptilinopus fischeri,2124
ptilinopus jambu,2125
leucotreron subgularis,2126
ptilinopus subgularis,2126
ptilinopus epius,2127
ptilinopus mangoliensis,2128
leucotreron leclancheri,2129
ptilinopus leclancheri,2129
megaloprepia formosa,2130
ptilinopus bernsteinii,2130
megaloprepia magnifica,2131
ptilinopus magnificus,2131
ptilinopus perlatus,2132
ptilinopus ornatus,2133
ptilinopus tannensis,2134
ptilinopus aurantiifrons,2135
ptilinopus wallacii,2136
ptilinopus superbus,2137
ptilinopus perousii,2138
ducula nicobarica,2187
coccycua pumila,2334
ptilinopus porphyraceus,2139
ptilinopus ponapensis,2140
ptilinopus pelewensis,2141
ptilinopus rarotongensis,2142
ptilinopus roseicapilla,2143
ptilinopus regina,2144
ptilinopus richardsii,2145
ptilinopus purpuratus,2146
ptilinopus chalcurus,2147
ptilinopus coralensis,2148
ptilinopus greyi,2149
ptilinopus greyii,2149
ptilinopus huttoni,2150
ptilinopus dupetithouarsii,2151
ptilinopus mercierii,2152
ptilinopus insularis,2153
ptilinopus coronulatus,2154
ptilinopus pulchellus,2155
ptilinopus monacha,2156
ptilinopus rivoli,2157
ptilinopus bellus,2158
ptilinopus miquelii,2159
ptilinopus solomonensis,2160
ptilinopus viridis,2161
ptilinopus pectoralis,2162
ptilinopus geelvinkiana,2163
ptilinopus eugeniae,2164
ptilinopus iozonus,2165
ptilinopus insolitus,2166
ptilinopus hyogaster,2167
ptilinopus hyogastra,2167
ptilinopus hyogastrus,2167
ptilinopus granulifrons,2168
ptilinopus melanospila,2169
ptilinopus melanospilus,2169
ptilinopus naina,2170
ptilinopus nainus,2170
ptilinopus nanus,2170
ptilinopus arcanus,2171
chrysoena victor,2172
ptilinopus victor,2172
chrysoena luteovirens,2173
ptilinopus luteovirens,2173
chrysoena viridis,2174
ptilinopus layardi,2174
drepanoptila holosericea,2175
ptilinopus holosericeus,2175
alectroenas nitidissima,2176
alectroenas nitidissimus,2176
ptilinopus nitidissimus,2176
alectroenas madagascariensis,2177
ptilinopus madagascariensis,2177
alectroenas sganzini,2178
ptilinopus sganzini,2178
alectroenas pulcherrima,2179
alectroenas pulcherrimus,2179
ptilinopus pulcherrimus,2179
ducula poliocephala,2180
ducula forsteni,2181
ducula mindorensis,2182
ducula radiata,2183
ducula carola,2184
ducula aenea,2185
ducula oenothorax,2186
athene murivora,2487
ducula perspicillata,2188
ducula neglecta,2189
ducula concinna,2190
ducula pacifica,2191
ducula oceanica,2192
ducula aurorae,2193
ducula galeata,2194
ducula rubricera,2195
ducula myristicivora,2196
ducula rufigaster,2197
ducula basilica,2198
ducula finschii,2199
ducula chalconota,2200
ducula pistrinaria,2201
ducula rosacea,2202
ducula whartoni,2203
ducula pickeringii,2204
ducula latrans,2205
ducula brenchleyi,2206
ducula bakeri,2207
ducula goliath,2208
ducula pinon,2209
ducula melanochroa,2210
ducula mullerii,2211
ducula zoeae,2212
ducula badia,2213
ducula lacernulata,2214
ducula cineracea,2215
ducula bicolor,2216
ducula melanura,2217
ducula luctuosa,2218
ducula spilorrhoa,2219
ducula constans,2220
ducula subflavescens,2221
lopholaimus antarcticus,2222
hemiphaga novaeseelandiae,2223
hemiphaga spadicea,2224
hemiphaga chathamensis,2225
cryptophaps poecilorrhoa,2226
gymnophaps albertisii,2227
gymnophaps mada,2228
gymnophaps stalkeri,2229
gymnophaps solomonensis,2230
opisthocomus hoazin,2231
corythaeola cristata,2232
tauraco persa,2233
tauraco livingstonii,2234
tauraco schalowi,2235
tauraco corythaix,2236
tauraco schuetti,2237
tauraco schuettii,2237
tauraco fischeri,2238
pseudopoetus macrorhynchus,2239
tauraco macrorhynchus,2239
proturacus leucolophus,2240
tauraco leucolophus,2240
proturacus bannermani,2241
tauraco bannermani,2241
proturacus erythrolophus,2242
tauraco erythrolophus,2242
tauraco hartlaubi,2243
menelikornis leucotis,2244
tauraco leucotis,2244
tauraco ruspolii,2245
gallirex porphyreolophus,2246
musophaga porphyreolopha,2246
tauraco porphyreolophus,2246
gallirex johnstoni,2247
musophaga johnstoni,2247
ruwenzorornis johnstoni,2247
musophaga violacea,2248
tauraco violaceus,2248
musophaga rossae,2249
tauraco rossae,2249
corythaixoides concolor,2250
crinifer concolor,2250
corythaixoides personatus,2251
crinifer personata,2251
corythaixoides leucogaster,2252
crinifer leucogaster,2252
criniferoides leucogaster,2252
crinifer africanus,2253
crinifer piscator,2253
crinifer zonurus,2254
guira guira,2255
crotophaga major,2256
crotophaga ani,2257
crotophaga sulcirostris,2258
tapera naevia,2259
dromococcyx phasianellus,2260
dromococcyx pavoninus,2261
morococcyx erythropygus,2262
geococcyx californiana,2263
geococcyx californianus,2263
geococcyx velox,2264
neomorphus geoffroyi,2265
neomorphus squamiger,2266
neomorphus radiolosus,2267
neomorphus rufipennis,2268
neomorphus pucheranii,2269
centropus milo,2270
centropus ateralbus,2271
centropus menbeki,2272
centropus chalybeus,2273
centropus unirufus,2274
centropus chlororhynchos,2275
centropus chlororhynchus,2275
centropus melanops,2276
centropus steerii,2277
centropus rectunguis,2278
centropus celebensis,2279
centropus anselli,2280
centropus leucogaster,2281
centropus neumanni,2282
centropus senegalensis,2283
centropus epomidis,2284
centropus monachus,2285
centropus cupreicaudus,2286
coccycua minuta,2333
centropus superciliosus,2287
centropus burchelli,2288
centropus burchellii,2288
centropus nigrorufus,2289
centropus sinensis,2290
centropus toulou,2291
centropus goliath,2292
centropus grillii,2293
centropus viridis,2294
centropus bengalensis,2295
centropus violaceus,2296
centropus bernsteini,2297
centropus phasianinus,2298
centropus spilopterus,2299
centropus andamanensis,2300
carpococcyx radiatus,2301
carpococcyx radiceus,2301
carpococcyx viridis,2302
carpococcyx renauldi,2303
coua delalandei,2304
coua cristata,2305
coua verreauxi,2306
coua caerulea,2307
coua ruficeps,2308
coua reynaudii,2309
coua coquereli,2310
coua cursor,2311
coua gigas,2312
coua serriana,2313
phaenicophaeus chlorophaeus,2314
rhinortha chlorophaea,2314
ceuthmochares aereus,2315
ceuthmochares australis,2316
phaenicophaeus leschenaultii,2317
taccocua leschenaultii,2317
phaenicophaeus javanicus,2318
zanclostomus javanicus,2318
phaenicophaeus calyorhynchus,2319
rhamphococcyx calyorhynchus,2319
phaenicophaeus curvirostris,2320
rhamphococcyx curvirostris,2320
phaenicophaeus pyrrhocephalus,2321
phaenicophaeus sumatranus,2322
rhopodytes sumatranus,2322
phaenicophaeus viridirostris,2323
rhopodytes viridirostris,2323
phaenicophaeus diardi,2324
rhopodytes diardi,2324
phaenicophaeus tristis,2325
rhopodytes tristis,2325
dasylophus superciliosus,2326
phaenicophaeus superciliosus,2326
dasylophus cumingi,2327
lepidogrammus cumingi,2327
phaenicophaeus cumingi,2327
clamator coromandus,2328
clamator glandarius,2329
clamator cafer,2330
clamator levaillantii,2330
oxylophus levaillantii,2330
clamator jacobinus,2331
oxylophus jacobinus,2331
clamator serratus,2332
coccyzus pumilus,2334
coccycua cinerea,2335
coccyzus cinereus,2335
piaya cayana,2336
piaya melanogaster,2337
coccyzus melacoryphus,2338
coccyzus americanus,2339
coccyzus euleri,2340
coccyzus minor,2341
coccyzus ferrugineus,2342
coccyzus erythropthalmus,2343
coccyzus lansbergi,2344
coccyzus pluvialis,2345
hyetornis pluvialis,2345
piaya pluvialis,2345
coccyzus rufigularis,2346
hyetornis rufigularis,2346
piaya rufigularis,2346
coccyzus vetula,2347
saurothera vetula,2347
coccyzus merlini,2348
saurothera merlini,2348
coccyzus vieilloti,2349
saurothera vieilloti,2349
coccyzus longirostris,2350
saurothera longirostris,2350
pachycoccyx audeberti,2351
microdynamis parva,2352
eudynamys scolopacea,2353
eudynamys scolopaceus,2353
eudynamys melanorhyncha,2354
eudynamys melanorhynchus,2354
eudynamys cyanocephala,2355
eudynamys orientalis,2355
eudynamys cyanocephalus,2356
eudynamys taitensis,2357
urodynamis taitensis,2357
scythrops novaehollandiae,2358
chalcites maculatus,2359
chrysococcyx maculatus,2359
chalcites xanthorhynchus,2360
chrysococcyx xanthorhynchus,2360
chrysococcyx caprius,2361
chrysococcyx klaas,2362
chrysococcyx flavigularis,2363
chrysococcyx cupreus,2364
chalcites megarhynchus,2365
chrysococcyx megarhynchus,2365
rhamphomantis megarhynchus,2365
chalcites basalis,2366
chrysococcyx basalis,2366
chalcites osculans,2367
chrysococcyx osculans,2367
misocalius osculans,2367
chalcites ruficollis,2368
chrysococcyx ruficollis,2368
chalcites lucidus,2369
chrysococcyx lucidus,2369
chalcites meyeri,2370
chalcites meyerii,2370
chrysococcyx meyeri,2370
chrysococcyx meyerii,2370
chalcites malayanus,2371
chalcites minutillus,2371
chrysococcyx minutillus,2371
chrysococcyx rufomerus,2372
chalcites crassirostris,2373
chrysococcyx crassirostris,2373
chrysococcyx russatus,2374
cacomantis pallidus,2375
cuculus pallidus,2375
heteroscenes pallidus,2375
cacomantis leucolophus,2376
caliechthrus leucolophus,2376
cacomantis castaneiventris,2377
cacomantis flabelliformis,2378
cacomantis pyrrophanus,2378
cacomantis sonneratii,2379
penthoceryx sonneratii,2379
cacomantis merulinus,2380
cacomantis passerinus,2381
cacomantis variolosus,2382
cacomantis sepulcralis,2383
cacomantis aeruginosus,2384
cacomantis heinrichi,2384
cercococcyx mechowi,2385
cercococcyx olivinus,2386
cercococcyx montanus,2387
surniculus velutinus,2388
surniculus lugubris,2389
surniculus dicruroides,2390
surniculus musschenbroeki,2391
cuculus vagans,2392
hierococcyx vagans,2392
cuculus sparverioides,2393
hierococcyx sparverioides,2393
hierococcyx bocki,2394
cuculus varius,2395
hierococcyx varius,2395
hierococcyx hyperythrus,2396
cuculus pectoralis,2397
hierococcyx pectoralis,2397
cuculus fugax,2398
hierococcyx fugax,2398
hierococcyx nisicolor,2399
cuculus clamosus,2400
cuculus solitarius,2401
cuculus poliocephalus,2402
cuculus crassirostris,2403
cuculus micropterus,2404
cuculus rochii,2405
cuculus gularis,2406
cuculus saturatus,2407
cuculus horsfieldi,2408
cuculus optatus,2408
cuculus lepidus,2409
cuculus canorus,2410
nannococcyx psix,2411
tyto tenebricosa,2412
tyto multipunctata,2413
tyto inexspectata,2414
tyto nigrobrunnea,2415
tyto sororcula,2416
tyto almae,2417
tyto manusi,2418
tyto aurantia,2419
tyto novaehollandiae,2420
tyto castanops,2421
tyto rosenbergii,2422
tyto soumagnei,2423
tyto alba,2424
tyto delicatula,2425
tyto deroepstorffi,2426
tyto glaucops,2427
mascarenotus sauzieri,2486
tyto capensis,2428
tyto longimembris,2429
phodilus prigoginei,2430
tyto prigoginei,2430
phodilus badius,2431
phodilus assimilis,2432
mimizuku gurneyi,2433
otus gurneyi,2433
otus sagittatus,2434
otus rufescens,2435
otus thilohoffmanni,2436
otus icterorhynchus,2437
otus ireneae,2438
otus balli,2439
otus alfredi,2440
otus spilocephalus,2441
otus vandewateri,2442
otus brookii,2443
otus angelinae,2444
otus mentawi,2445
otus bakkamoena,2446
otus lettia,2447
otus semitorques,2448
otus lempiji,2449
otus fuliginosus,2450
otus megalotis,2451
otus whiteheadi,2451
otus everetti,2452
otus nigrorum,2453
otus silvicola,2454
otus mirus,2455
otus longicornis,2456
otus mindorensis,2457
otus brucei,2458
otus senegalensis,2459
otus pamelae,2460
otus scops,2461
otus sunia,2462
otus socotranus,2463
otus magicus,2464
otus jolandae,2465
otus sulaensis,2466
otus siaoensis,2467
otus mantananensis,2468
otus elegans,2469
otus manadensis,2470
otus collari,2471
otus beccarii,2472
otus insularis,2473
otus umbra,2474
otus enganensis,2475
otus alius,2476
otus pembaensis,2477
otus pauliani,2478
otus capnodes,2479
otus moheliensis,2480
otus mayottensis,2481
otus madagascariensis,2482
otus rutilus,2483
otus hartlaubi,2484
mascarenotus grucheti,2485
mascarenotus murivorus,2487
otus flammeolus,2488
psiloscops flammeolus,2488
megascops asio,2489
otus asio,2489
megascops kennicottii,2490
otus kennicottii,2490
megascops seductus,2491
otus seductus,2491
megascops cooperi,2492
otus cooperi,2492
megascops trichopsis,2493
otus trichopsis,2493
megascops choliba,2494
otus choliba,2494
megascops roboratus,2495
otus roboratus,2495
megascops koepckeae,2496
otus koepckeae,2496
megascops clarkii,2497
otus clarkii,2497
megascops barbarus,2498
otus barbarus,2498
megascops ingens,2499
otus ingens,2499
otus minimus,2500
megascops colombianus,2501
otus colombianus,2501
megascops petersoni,2502
otus petersoni,2502
megascops marshalli,2503
otus marshalli,2503
megascops watsonii,2504
otus watsonii,2504
megascops guatemalae,2505
otus guatemalae,2505
megascops vermiculatus,2506
otus vermiculatus,2506
megascops roraimae,2507
megascops napensis,2508
megascops centralis,2509
megascops hoyi,2510
otus hoyi,2510
megascops atricapilla,2511
otus atricapillus,2511
megascops sanctaecatarinae,2512
otus sanctaecatarinae,2512
megascops nudipes,2513
otus nudipes,2513
megascops albogularis,2514
otus albo-gularis,2514
otus albogularis,2514
otus podarginus,2515
pyrroglaux podargina,2515
pyrroglaux podarginus,2515
gymnoglaux lawrencii,2516
margarobyas lawrencii,2516
otus lawrencii,2516
otus leucotis,2517
ptilopsis leucotis,2517
ptilopsis granti,2518
bubo scandiaca,2519
bubo scandiacus,2519
nyctea scandiaca,2519
bubo virginianus,2520
bubo magellanicus,2521
bubo bubo,2522
bubo bengalensis,2523
bubo ascalaphus,2524
bubo capensis,2525
bubo africanus,2526
bubo cinerascens,2527
bubo poensis,2528
ketupa poensis,2528
bubo vosseleri,2529
ketupa vosseleri,2529
lithiophanes insignibarbis,3009
bubo nipalensis,2530
ketupa nipalensis,2530
bubo sumatrana,2531
bubo sumatranus,2531
ketupa sumatrana,2531
bubo shelleyi,2532
nyctaetus shelleyi,2532
bubo lacteus,2533
nyctaetus lacteus,2533
bubo coromandus,2534
bubo leucostictus,2535
bubo philippensis,2536
ketupa philippensis,2536
pseudoptynx philippensis,2536
bubo blakistoni,2537
ketupa blakistoni,2537
ketupa zeylonensis,2538
ketupa flavipes,2539
ketupa ketupu,2540
scotopelia peli,2541
scotopelia ussheri,2542
scotopelia bouvieri,2543
strix selo-puto,2544
strix seloputo,2544
strix ocellata,2545
strix leptogrammica,2546
strix aluco,2547
strix nivicola,2548
strix nivicolum,2548
strix butleri,2549
ciccaba occidentalis,2550
strix occidentalis,2550
ciccaba varia,2551
strix varia,2551
ciccaba sartorii,2552
strix sartorii,2552
ciccaba fulvescens,2553
strix fulvescens,2553
ciccaba hylophila,2554
strix hylophila,2554
ciccaba chacoensis,2555
strix chacoensis,2555
ciccaba rufipes,2556
strix rufipes,2556
strix uralensis,2557
strix davidi,2558
strix nebulosa,2559
ciccaba woodfordii,2560
strix woodfordii,2560
ciccaba virgata,2561
strix virgata,2561
ciccaba albitarsis,2562
ciccaba albitarsus,2562
strix albitarsis,2562
strix albitarsus,2562
ciccaba nigrolineata,2563
strix nigrolineata,2563
ciccaba huhula,2564
strix huhula,2564
jubula lettii,2565
lophostrix cristata,2566
pulsatrix perspicillata,2567
pulsatrix koeniswaldiana,2568
pulsatrix melanota,2569
surnia ulula,2570
glaucidium passerinum,2571
glaucidium brodiei,2572
glaucidium perlatum,2573
glaucidium californicum,2574
hydropsalis cayennensis,2722
glaucidium gnoma,2575
glaucidium hoskinsii,2576
glaucidium cobanense,2577
glaucidium costaricanum,2578
glaucidium jardinii,2579
glaucidium nubicola,2580
glaucidium bolivianum,2581
glaucidium palmarum,2582
glaucidium sanchezi,2583
glaucidium mooreorum,2584
glaucidium griseiceps,2585
glaucidium parkeri,2586
glaucidium hardyi,2587
glaucidium minutissimum,2588
glaucidium brasilianum,2589
glaucidium tucumanum,2590
glaucidium peruanum,2591
glaucidium nana,2592
glaucidium nanum,2592
glaucidium siju,2593
glaucidium tephronotum,2594
glaucidium sjostedti,2595
glaucidium cuculoides,2596
taenioglaux cuculoides,2596
glaucidium castanopterum,2597
taenioglaux castanoptera,2597
glaucidium radiatum,2598
taenioglaux radiata,2598
glaucidium castanonotum,2599
glaucidium castanotum,2599
taenioglaux castanota,2599
glaucidium capense,2600
smithiglaux capensis,2600
glaucidium castaneum,2601
glaucidium scheffleri,2602
glaucidium ngamiense,2603
glaucidium albertinum,2604
smithiglaux albertina,2604
xenoglaux loweryi,2605
micrathene whitneyi,2606
athene noctua,2607
athene brama,2608
athene cunicularia,2609
speotyto cunicularia,2609
athene blewitti,2610
heteroglaux blewitti,2610
aegolius funereus,2611
aegolius acadicus,2612
aegolius gradyi,2613
aegolius ridgwayi,2614
aegolius harrisii,2615
ninox rufa,2616
ninox burhani,2617
ninox strenua,2618
ninox connivens,2619
ninox rudolfi,2620
ninox boobook,2621
ninox lurida,2622
ninox novaeseelandiae,2623
ninox leucopsis,2624
ninox scutulata,2625
ninox japonica,2626
ninox randi,2627
ninox obscura,2628
agyrtria cyanocephala,3104
ninox affinis,2629
athene superciliaris,2630
ninox superciliaris,2630
ninox philippensis,2631
ninox spilocephala,2632
ninox mindorensis,2633
ninox spilonota,2634
ninox spilonotus,2634
ninox rumseyi,2635
ninox leventisi,2636
ninox reyi,2637
ninox ochracea,2638
ninox perversa,2638
ninox ios,2639
ninox squamipila,2640
ninox hypogramma,2641
ninox forbesi,2642
ninox natalis,2643
ninox theomacha,2644
ninox meeki,2645
ninox punctulata,2646
ninox solomonis,2647
ninox variegata,2647
ninox odiosa,2648
ninox jacquinoti,2649
ninox sumbaensis,2650
uroglaux dimorpha,2651
sceloglaux albifacies,2652
asio grammicus,2653
pseudoscops grammicus,2653
asio clamator,2654
pseudoscops clamator,2654
rhinoptynx clamator,2654
nesasio solomonensis,2655
asio stygius,2656
asio otus,2657
asio abyssinicus,2658
asio madagascariensis,2659
asio flammeus,2660
asio capensis,2661
podargus ocellatus,2662
podargus papuensis,2663
podargus strigoides,2664
rigidipenna inexpectata,2665
batrachostomus auritus,2666
batrachostomus harterti,2667
batrachostomus septimus,2668
batrachostomus stellatus,2669
batrachostomus moniliger,2670
batrachostomus hodgsoni,2671
batrachostomus poliolophus,2672
batrachostomus mixtus,2673
batrachostomus javensis,2674
batrachostomus affinis,2675
batrachostomus afiinis,2675
batrachostomus chaseni,2676
batrachostomus cornutus,2677
steatornis caripensis,2678
nyctibius grandis,2679
lampraster branickii,3147
nyctibius aethereus,2680
nyctibius jamaicensis,2681
nyctibius griseus,2682
nyctibius maculosus,2683
nyctibius leucopterus,2684
nyctibius bracteatus,2685
eurostopodus argus,2686
eurostopodus guttatus,2686
eurostopodus albo-gularis,2687
eurostopodus mystacalis,2687
eurostopodus nigripennis,2688
eurostopodus exul,2689
eurostopodus diabolicus,2690
eurostopodus papuensis,2691
eurostopodus archboldi,2692
eurostopodus temminckii,2693
lyncornis temminckii,2693
eurostopodus macrotis,2694
lyncornis macrotis,2694
caprimulgus enarratus,2695
gactornis enarratus,2695
chordeiles nacunda,2696
podager nacunda,2696
chordeiles pusillus,2697
chordeiles rupestris,2698
chordeiles acutipennis,2699
chordeiles minor,2700
chordeiles gundlachii,2701
lurocalis semitorquatus,2702
lurocalis rufiventris,2703
nyctiprogne leucopyga,2704
chordeiles vielliardi,2705
nyctiprogne vielliardi,2705
caprimulgus nigrescens,2706
nyctipolus nigrescens,2706
caprimulgus hirundinaceus,2707
nyctipolus hirundinaceus,2707
nyctidromus albicollis,2708
caprimulgus anthonyi,2709
nyctidromus anthonyi,2709
caprimulgus heterurus,2710
hydropsalis heterura,2710
setopagis heterura,2710
setopagis heterurus,2710
caprimulgus parvulus,2711
hydropsalis parvula,2711
setopagis parvula,2711
setopagis parvulus,2711
caprimulgus whitelyi,2712
hydropsalis whitelyi,2712
setopagis whitelyi,2712
caprimulgus maculosus,2713
nyctipolus maculosus,2713
setopagis maculosa,2713
setopagis maculosus,2713
eleothreptus anomalus,2714
hydropsalis anomala,2714
caprimulgus candicans,2715
eleothreptus candicans,2715
hydropsalis candicans,2715
caprimulgus longirostris,2716
hydropsalis longirostris,2716
systellura longirostris,2716
hydropsalis ruficervix,2717
hydropsalis roraimae,2718
hydropsalis decussata,2719
hydropsalis segmentata,2720
uropsalis segmentata,2720
hydropsalis lyra,2721
uropsalis lyra,2721
caprimulgus cayennensis,2722
heliangelus splendidus,3203
caprimulgus maculicaudus,2723
hydropsalis maculicaudus,2723
hydropsalis climacocerca,2724
hydropsalis brasiliana,2725
hydropsalis torquata,2725
hydropsalis forcipata,2726
macropsalis creagra,2726
macropsalis forcipata,2726
siphonorhis brewsteri,2727
siphonorhis americana,2728
siphonorhis americanus,2728
nyctiphrynus rosenbergi,2729
nyctiphrynus mcleodii,2730
otophanes mcleodii,2730
nyctiphrynus yucatanicus,2731
otophanes yucatanicus,2731
nyctiphrynus ocellatus,2732
phalaenoptilus nuttallii,2733
antrostomus carolinensis,2734
caprimulgus carolinensis,2734
antrostomus rufus,2735
caprimulgus rufus,2735
antrostomus cubanensis,2736
caprimulgus cubanensis,2736
antrostomus ekmani,2737
caprimulgus ekmani,2737
antrostomus salvini,2738
caprimulgus salvini,2738
antrostomus badius,2739
caprimulgus badius,2739
antrostomus sericocaudatus,2740
caprimulgus serico-caudatis,2740
caprimulgus sericocaudatus,2740
antrostomus ridgwayi,2741
caprimulgus ridgwayi,2741
antrostomus vociferus,2742
caprimulgus vociferus,2742
antrostomus arizonae,2743
caprimulgus arizonae,2743
antrostomus noctitherus,2744
caprimulgus noctitherus,2744
antrostomus saturatus,2745
caprimulgus saturatus,2745
caprimulgus binotatus,2746
veles binotatus,2746
caprimulgus ruficollis,2747
caprimulgus indicus,2748
caprimulgus jotaka,2749
caprimulgus phalaena,2750
caprimulgus europaeus,2751
caprimulgus fraenatus,2752
caprimulgus rufigena,2753
caprimulgus aegyptius,2754
caprimulgus mahrattensis,2755
caprimulgus centralasicus,2756
caprimulgus nubicus,2757
caprimulgus eximius,2758
caprimulgus atripennis,2759
caprimulgus macrurus,2760
caprimulgus meesi,2761
caprimulgus andamanicus,2762
caprimulgus manillensis,2763
caprimulgus celebensis,2764
caprimulgus donaldsoni,2765
metallura purpureicauda,3257
caprimulgus nigriscapularis,2766
caprimulgus pectoralis,2767
caprimulgus poliocephalus,2768
caprimulgus ruwenzorii,2769
caprimulgus asiaticus,2770
caprimulgus madagascariensis,2771
caprimulgus natalensis,2772
caprimulgus solala,2773
caprimulgus inornatus,2774
caprimulgus ludovicianus,2775
caprimulgus stellatus,2776
caprimulgus affinis,2777
caprimulgus monticolus,2778
caprimulgus tristigma,2779
caprimulgus concretus,2780
caprimulgus pulchellus,2781
caprimulgus prigoginei,2782
caprimulgus batesi,2783
caprimulgus climacurus,2784
scotornis climacurus,2784
caprimulgus clarus,2785
caprimulgus fossii,2786
scotornis fossii,2786
caprimulgus longipennis,2787
macrodipteryx longipennis,2787
caprimulgus vexillarius,2788
macrodipteryx vexillarius,2788
aegotheles insignis,2789
aegotheles tatei,2790
aegotheles crinifrons,2791
aegotheles wallacii,2792
aegotheles archboldi,2793
aegotheles albertisi,2794
aegotheles salvadorii,2795
aegotheles savesi,2796
aegotheles bennettii,2797
aegotheles affinis,2798
aegotheles cristatus,2799
hemiprocne coronata,2800
hemiprocne longipennis,2801
hemiprocne comata,2802
hemiprocne mystacea,2803
cypseloides cherriei,2804
cypseloides cryptus,2805
cypseloides storeri,2806
cypseloides fumigatus,2807
cypseloides major,2808
cypseloides rothschildi,2808
cypseloides niger,2809
nephoecetes niger,2809
cypseloides lemosi,2810
cypseloides senex,2811
cypseloides phelpsi,2812
streptoprocne phelpsi,2812
chaetura rutila,2813
cypseloides rutilus,2813
streptoprocne rutila,2813
chaetura nubicola,2814
streptoprocne zonaris,2815
aglaiocercus emmae,3258
streptoprocne biscutata,2816
streptoprocne semicollaris,2817
collocalia gigas,2818
hydrochous gigas,2818
collocalia esculenta,2819
collocalia marginata,2820
collocalia linchi,2821
collocalia dodgei,2822
collocalia troglodytes,2823
aerodramus elaphrus,2824
collocalia elaphra,2824
aerodramus francicus,2825
collocalia francica,2825
aerodramus unicolor,2826
collocalia unicolor,2826
aerodramus mearnsi,2827
collocalia mearnsi,2827
aerodramus infuscatus,2828
collocalia infuscata,2828
aerodramus sororum,2829
aerodramus ceramensis,2830
aerodramus hirundinaceus,2831
collocalia hirundinacea,2831
aerodramus spodiopygius,2832
collocalia spodiopygia,2832
collocalia spodiopygius,2832
aerodramus terraereginae,2833
collocalia terraereginae,2833
aerodramus brevirostris,2834
collocalia brevirostris,2834
collocalia rogersi,2835
aerodramus vulcanorum,2836
collocalia vulcanorum,2836
aerodramus whiteheadi,2837
collocalia whiteheadi,2837
aerodramus nuditarsus,2838
collocalia nuditarsus,2838
aerodramus orientalis,2839
collocalia orientalis,2839
aerodramus salangana,2840
collocalia salangana,2840
aerodramus vanikorensis,2841
collocalia vanikorensis,2841
aerodramus palawanensis,2842
collocalia palawanensis,2842
aerodramus amelis,2843
collocalia amelis,2843
aerodramus pelewensis,2844
collocalia pelewensis,2844
aerodramus bartschi,2845
collocalia bartschi,2845
aerodramus inquietus,2846
collocalia inquieta,2846
aerodramus leucophaeus,2847
collocalia leucophaea,2847
collocalia leucophaeus,2847
aerodramus sawtelli,2848
collocalia sawtelli,2848
aerodramus ocistus,2849
collocalia ocista,2849
aerodramus maximus,2850
collocalia lowi,2850
collocalia maxima,2850
aerodramus fuciphagus,2851
collocalia fuciphaga,2851
collocalia inexpectata,2852
collocalia vestita,2853
aerodramus germani,2854
collocalia germani,2854
aerodramus papuensis,2855
collocalia papuensis,2855
hydrochous papuensis,2855
apus myoptilus,2856
schoutedenapus myoptilus,2856
schoutedenapus schoutedeni,2857
mearnsia picina,2858
calyptorhynchus magnificus,4165
mearnsia novaeguineae,2859
zoonavena grandidieri,2860
chaetura thomensis,2861
zoonavena thomensis,2861
chaetura sylvatica,2862
zoonavena sylvatica,2862
chaetura ussheri,2863
telacanthura ussheri,2863
telecanthura ussheri,2863
chaetura melanopygia,2864
telacanthura melanopygia,2864
telecanthura melanopygia,2864
chaetura leucopygialis,2865
rhaphidura leucopygialis,2865
chaetura sabini,2866
rhaphidura sabini,2866
mearnsia cassini,2867
neafrapus cassini,2867
neafrapus boehmi,2868
hirund-apus caudacutus,2869
hirundapus caudacutus,2869
hirundapus cochinchinensis,2870
hirund-apus ernsti,2871
