id,lat,lon,perc_forest
1,30.978,103.5782,66.7777777777778
2,28.3046,119.3033,43.5555555555556
3,14.6014606,108.2916225,2
4,27.10465,92.52548,60.2222222222222
5,29.494,113.383,92.1111111111111
6,28.236582,96.006775,100
7,12.1239,106.912,50.2222222222222
8,11.3473,107.1501,35.8888888888889
9,-1.1167,116.8167,100
10,9.1385,98.6199,57.875
11,26.589,93.422,79.5555555555556
12,-35.5876,142.0367,17.4444444444444
13,-24.067,132.667,15.25
14,-28.1136,145.206,6.8
15,8.848868,-82.541793,100
16,-27.9633,145.5848,33.9
17,-33.7548,140.2104,33
18,-27.9633,145.5848,33.9
19,-41.2052,146.3409,20.5454545454545
20,-41.2619,146.4173,41.5
21,-42.1348,146.2298,38.6363636363636
22,-32.8166,116.8865,40.1818181818182
23,-34.399828,117.978058,66.7777777777778
24,-34.632996,138.496571,15.1818181818182
25,-17.4657,145.4891,78.8571428571429
26,-16.5389,145.287,97.875
27,-34.6695,150.7112,100
28,-26.4154,153.0839,60.4
29,-35.2755,149.1155,6.3
30,-34.0881,151.0568,100
31,-37.5286,145.5195,100
32,-32.8898,150.3453,97.7777777777778
33,-33.6998,150.7189,53.1
34,-24.8874,150.9657,100
35,-35.5287,144.9589,20.1818181818182
36,-28.7851,119.991,25.2222222222222
37,-24.399,113.404,0
38,-27.9687,145.5428,24.125
39,-34.885,118.404,27.2222222222222
40,-32.7889,116.9448,39.7272727272727
41,-33.166,151.065,80.9
42,-34.6695,150.7112,100
43,-32.8339,150.2047,73.8
44,-33.5544,150.6035,95.6
45,-22.573973,17.128608,9.875
46,-19.2707,14.4651,1.11111111111111
47,-20.511,17.243,59.6666666666667
48,-21.46138,15.874639,1.66666666666667
49,-22.573973,17.128608,9.875
50,-37.7727255,-57.4508112,15.5454545454545
51,10.2725,77.4793,15.625
52,13.4125,103.867,30.3333333333333
53,13.7316,100.5417,22.4285714285714
54,12.4022,108.1835,49.4285714285714
55,20.0408,99.3444,16.5555555555556
56,17.8839,102.7419,0.333333333333333
57,25.661,-80.361,1.44444444444444
58,-18.5948,49.2149,42.25
59,41.3962,68.9969,8.11111111111111
60,28.494,77.159,2.66666666666667
61,-19.076,47.557,6.9
62,-15.3851,-39.5709,71.8888888888889
63,-14.8333333333,-39.25,87
64,-14.0776,-39.6056,47.125
65,47.7356,133.6995,4.9
66,39.136452,118.830185,8.5
67,44.2051,132.4161,12.4545454545455
68,48.0874,108.6585,19.5454545454545
69,49.8699,127.6447,1.90909090909091
72,52.4994,73.0913,0
73,51.7822,77.4827,22.7
