Species	Class	Habitat breadth (Within-class co-occurrence index; multiplicative beta)	Habitat breadth (co-occurrence among species from all four classes; multiplicative beta)	Habitat breadth (Within-class co-occurrence index; additive beta)	Habitat breadth (co-occurrence among species from all four classes; additive beta)	Number-habitat-classes	Total-number-IUCN-habitat-categories
Acanthixalus-sonjae	AMPHIBIA	0.999564839	0.999904086	0	0	1	1
Acanthixalus-spinosus	AMPHIBIA	1.593809223	1.630444219	941	4358	1	2
Acris-crepitans	AMPHIBIA	4.262546602	4.990313229	2529.111111	6271.555556	3	9
Acris-gryllus	AMPHIBIA	3.95471961	4.384120521	2424.714286	5937.714286	3	7
Adelophryne-adiastola	AMPHIBIA	0.999564839	0.999904086	0	0	1	1
Adelophryne-baturitensis	AMPHIBIA	2.469341894	2.208905897	1526.666667	6951	2	3
Adelophryne-gutturosa	AMPHIBIA	1.829324345	2.070295405	1805.333333	7827	2	3
Adelophryne-maranguapensis	AMPHIBIA	2.469341894	2.208905897	1526.666667	6951	2	3
Adelotus-brevis	AMPHIBIA	4.045418006	5.442581698	3031.8	13065.3	3	10
Adelphobates-castaneoticus	AMPHIBIA	1.629213483	1.87743319	1177	5320	2	2
Adelphobates-galactonotus	AMPHIBIA	1.629213483	1.87743319	1177	5320	2	2
Adelphobates-quinquevittatus	AMPHIBIA	1.992070117	2.574775564	1585.666667	7193	2	3
Adenomera-andreae	AMPHIBIA	2.99452954	3.070467335	1824	8463	3	4
Adenomera-araucaria	AMPHIBIA	2.277284446	2.196672275	1487.333333	6402	2	3
Adenomera-bokermanni	AMPHIBIA	2.982795699	3.102095268	2767	10715.8	4	5
Adenomera-diptyx	AMPHIBIA	4.309121061	5.030657877	2495.25	10929.625	5	8
Adenomera-heyeri	AMPHIBIA	0.999564839	0.999904086	0	0	1	1
Adenomera-hylaedactyla	AMPHIBIA	3.92872617	5.056362499	3005.222222	12971.44444	4	9
Adenomera-marmorata	AMPHIBIA	2.092514395	2.060334833	1898.333333	7622.333333	2	3
Adenomera-martinezi	AMPHIBIA	3.323809524	3.735015279	977	5818.833333	3	6
Adenomera-nanus	AMPHIBIA	2.509210116	2.459860248	1612.333333	6268.666667	2	3
Adenomera-thomei	AMPHIBIA	1.757002546	1.675788532	1041.5	4532.5	2	2
Adenomus-dasi	AMPHIBIA	1.520454008	1.772545613	1101.5	4447	2	2
Adenomus-kandianus	AMPHIBIA	1.520454008	1.772545613	1101.5	4447	2	2
Adenomus-kelaartii	AMPHIBIA	2.222925735	2.64007145	2318.75	9641.75	2	4
Afrixalus-aureus	AMPHIBIA	3.463141385	4.804122051	1375.125	5907.375	3	8
Afrixalus-brachycnemis	AMPHIBIA	3.600742804	4.618719212	1401.5	5969.625	3	8
Afrixalus-clarkei	AMPHIBIA	3.518770667	3.775233341	2590.8	10229.4	3	5
Afrixalus-crotalus	AMPHIBIA	3.192499268	4.006993007	1248.166667	4157.666667	3	6
Afrixalus-delicatus	AMPHIBIA	4.693523712	5.982070748	1811.75	10282.33333	4	12
Afrixalus-dorsalis	AMPHIBIA	4.196527521	5.577515503	2596.9	11442.5	5	10
Afrixalus-dorsimaculatus	AMPHIBIA	2.537601933	2.821585803	2546.5	10034.75	2	4
Afrixalus-enseticola	AMPHIBIA	3.77148704	4.195438708	2709.666667	10089	4	6
Afrixalus-equatorialis	AMPHIBIA	2.37037037	3.201071019	1888	8632.5	2	4
Afrixalus-fornasini	AMPHIBIA	4.640671583	6.734184562	1785.769231	9881	4	13
Afrixalus-fulvovittatus	AMPHIBIA	2.955308249	4.061771929	1582.285714	6947.285714	4	7
Afrixalus-knysnae	AMPHIBIA	3.40973236	4.534012939	1415.857143	5151.571429	4	7
Afrixalus-lacteus	AMPHIBIA	2.581111302	2.980285359	2298.75	8363.25	2	4
Afrixalus-laevis	AMPHIBIA	1.527873365	1.765058521	1151.5	5361	2	2
Afrixalus-leucostictus	AMPHIBIA	2.417241379	2.771421965	2467	9577.75	2	4
Afrixalus-morerei	AMPHIBIA	3.223021583	3.425149701	2086.75	7999.75	3	4
Afrixalus-nigeriensis	AMPHIBIA	2.081632653	2.347615979	1661.666667	6972.666667	2	3
Afrixalus-orophilus	AMPHIBIA	2.629296996	2.73845736	1754.666667	6402	3	3
Afrixalus-osorioi	AMPHIBIA	2.888764045	3.780847724	2242.333333	10334.16667	3	6
Afrixalus-paradorsalis	AMPHIBIA	3.142763674	4.28693986	2340.285714	10783.57143	3	7
Afrixalus-quadrivittatus	AMPHIBIA	3.834422658	5.586719964	1775.090909	9389.181818	5	11
Afrixalus-septentrionalis	AMPHIBIA	2.352729145	2.342260043	876.6666667	3576.333333	3	3
Afrixalus-spinifrons	AMPHIBIA	2.916542474	3.351894444	1287	3886.8	3	5
Afrixalus-stuhlmanni	AMPHIBIA	4.56550147	6.462188634	1680.076923	8451.846154	5	13
Afrixalus-sylvaticus	AMPHIBIA	3.035220358	3.133476568	2208.4	9533.8	3	5
Afrixalus-uluguruensis	AMPHIBIA	2.537601933	2.821585803	2546.5	10034.75	2	4
Afrixalus-vibekensis	AMPHIBIA	1.629213483	1.87743319	1177	5320	2	2
Afrixalus-vittiger	AMPHIBIA	4.536082474	5.931075081	2713.818182	13327.45455	4	11
Afrixalus-weidholzi	AMPHIBIA	3.267784431	4.43677679	1353.571429	5856.285714	3	7
Afrixalus-wittei	AMPHIBIA	2.822681704	3.478040754	1164.6	3916.8	3	5
Agalychnis-annae	AMPHIBIA	2.660727543	3.007988468	2238	8358.75	3	4
Agalychnis-callidryas	AMPHIBIA	2.904722905	3.204312478	2791.8	11225.8	2	5
Agalychnis-litodryas	AMPHIBIA	1.527873365	1.765058521	1151.5	5361	2	2
Agalychnis-moreletii	AMPHIBIA	2.417241379	2.771421965	2467	9577.75	2	4
Agalychnis-saltator	AMPHIBIA	2.376653696	2.604462935	1770	7071.333333	2	3
Agalychnis-spurrelli	AMPHIBIA	1.629213483	1.87743319	1177	5320	2	2
Aglyptodactylus-laticeps	AMPHIBIA	1.765227021	1.915070473	692	2533	2	2
Aglyptodactylus-madagascariensis	AMPHIBIA	3.069935983	3.379204456	2857.166667	11106.33333	3	6
Aglyptodactylus-securifer	AMPHIBIA	3.216924534	4.216368768	2341.333333	10827.83333	2	6
Albericus-brunhildae	AMPHIBIA	1.807692308	1.803178594	1177	4473.5	2	2
Albericus-darlingtoni	AMPHIBIA	0.999538745	0.999873801	0	0	1	1
Albericus-siegfriedi	AMPHIBIA	2.223015873	2.309915365	1542	6346.666667	2	3
Albericus-swanhildae	AMPHIBIA	0.999538745	0.999873801	0	0	1	1
Albericus-tuberculus	AMPHIBIA	0.999538745	0.999873801	0	0	1	1
Albericus-valkuriarum	AMPHIBIA	2.223015873	2.309915365	1542	6346.666667	2	3
Alexteroon-hypsiphonus	AMPHIBIA	2.264701591	3.029097009	2167.75	8770.25	2	4
Alexteroon-jynx	AMPHIBIA	1.527873365	1.765058521	1151.5	5361	2	2
Alexteroon-obstetricans	AMPHIBIA	1.527873365	1.765058521	1151.5	5361	2	2
Allobates-algorei	AMPHIBIA	1.593809223	1.630444219	941	4358	1	2
Allobates-brunneus	AMPHIBIA	3.092992273	3.352741662	1964.75	8325	2	4
Allobates-chalcopis	AMPHIBIA	2.870214753	2.9966787	2004	3457.75	2	4
Allobates-femoralis	AMPHIBIA	2.081632653	2.347615979	1661.666667	6972.666667	2	3
Allobates-granti	AMPHIBIA	0.999564839	0.999904086	0	0	1	1
Allobates-humilis	AMPHIBIA	2.078564172	2.189994014	2124.333333	7953.333333	2	3
Allobates-insperatus	AMPHIBIA	1.629213483	1.87743319	1177	5320	2	2
Allobates-juanii	AMPHIBIA	1.527873365	1.765058521	1151.5	5361	2	2
Allobates-kingsburyi	AMPHIBIA	1.520454008	1.772545613	1101.5	4447	2	2
Allobates-mandelorum	AMPHIBIA	2.75004283	3.154262239	2554.75	7866.75	3	4
Allobates-marchesianus	AMPHIBIA	1.992070117	2.574775564	1585.666667	7193	2	3
Allobates-mcdiarmidi	AMPHIBIA	1.520454008	1.772545613	1101.5	4447	2	2
Allobates-myersi	AMPHIBIA	1.527873365	1.765058521	1151.5	5361	2	2
Allobates-niputidea	AMPHIBIA	0.999564839	0.999904086	0	0	1	1
Allobates-olfersioides	AMPHIBIA	2.540362438	3.125785184	2338.5	10238.25	3	4
Allobates-paleovarzensis	AMPHIBIA	2.124714671	2.55246136	1807.666667	7601.333333	2	3
Allobates-pittieri	AMPHIBIA	1.829324345	2.070295405	1805.333333	7827	2	3
Allobates-ranoides	AMPHIBIA	1.527873365	1.765058521	1151.5	5361	2	2
Allobates-subfolionidificans	AMPHIBIA	0.999564839	0.999904086	0	0	1	1
Allobates-talamancae	AMPHIBIA	2.482921084	2.858144691	2204.25	9009.75	2	4
Allobates-trilineatus	AMPHIBIA	1.527873365	1.765058521	1151.5	5361	2	2
Allobates-wayuu	AMPHIBIA	2.361390405	2.569285476	1580.666667	4708.333333	2	3
Allobates-zaparo	AMPHIBIA	1.527873365	1.765058521	1151.5	5361	2	2
Allopaa-hazarensis	AMPHIBIA	2.673270959	3.102734051	2281.25	7615	3	4
Allophryne-ruthveni	AMPHIBIA	1.629213483	1.87743319	1177	5320	2	2
Alsodes-barrioi	AMPHIBIA	1.793563579	1.863341646	1012	2597.5	2	2
Alsodes-gargola	AMPHIBIA	3.464036565	3.788735858	2049.6	6804.4	3	5
Alsodes-montanus	AMPHIBIA	1.91559307	1.923820801	1031.5	2341.5	2	2
Alsodes-nodosus	AMPHIBIA	2.492069347	2.626436782	1349.333333	3114	2	3
Alsodes-pehuenche	AMPHIBIA	2.941232227	2.995200878	2049	3638.75	1	4
Alsodes-tumultuosus	AMPHIBIA	1.911347518	1.910916683	1029	2291.5	2	2
Alsodes-vanzolinii	AMPHIBIA	1.793563579	1.863341646	1012	2597.5	2	2
Altiphrynoides-malcolmi	AMPHIBIA	2.722027972	2.620945239	1642.666667	6197.333333	3	3
Altiphrynoides-osgoodi	AMPHIBIA	2.650423729	2.667301933	2078.333333	6125	3	3
Alytes-cisternasii	AMPHIBIA	4.335263639	4.581313023	1564.285714	4770.285714	4	7
Alytes-dickhilleni	AMPHIBIA	2.971512053	3.940639797	1350.5	4244.833333	3	6
Alytes-maurus	AMPHIBIA	4.588014981	5.022111746	2464.428571	7744.714286	4	7
Alytes-muletensis	AMPHIBIA	3.502726281	3.567372395	1722.25	3911.75	2	4
Alytes-obstetricans	AMPHIBIA	5.259859155	5.877981045	2750.545455	10060.72727	5	11
Ambystoma-altamirani	AMPHIBIA	2.174416158	2.54265212	1861.666667	7023.666667	3	3
Ambystoma-amblycephalum	AMPHIBIA	2.560134567	2.734066554	1856	6150	3	3
Ambystoma-andersoni	AMPHIBIA	1.836247335	1.70338435	981.5	1632.5	1	2
Ambystoma-annulatum	AMPHIBIA	1.927205636	2.298387097	922.3333333	2469.666667	2	3
Ambystoma-barbouri	AMPHIBIA	2.772033481	3.072940607	1800.5	4285.25	2	4
Ambystoma-bishopi	AMPHIBIA	2.711768851	2.986101919	1215.5	3752.25	3	4
Ambystoma-bombypellum	AMPHIBIA	2.896859083	3.66097224	2682.4	8474.6	3	5
Ambystoma-californiense	AMPHIBIA	3.810826772	5.108187853	1587.555556	5570.333333	3	9
Ambystoma-cingulatum	AMPHIBIA	2.711768851	2.986101919	1215.5	3752.25	3	4
Ambystoma-dumerilii	AMPHIBIA	0.995983936	0.99787234	0	0	1	1
Ambystoma-gracile	AMPHIBIA	3.636022514	3.776526133	2108.5	5587.833333	3	6
Ambystoma-granulosum	AMPHIBIA	2.267182386	2.564566929	1065.75	1988	2	4
Ambystoma-jeffersonianum	AMPHIBIA	1.927205636	2.298387097	922.3333333	2469.666667	2	3
Ambystoma-laterale	AMPHIBIA	2.855643045	3.137909709	1238.25	3458	2	4
Ambystoma-leorae	AMPHIBIA	1.520454008	1.772545613	1101.5	4447	2	2
Ambystoma-lermaense	AMPHIBIA	3.317763623	3.200655738	1638.5	3357	2	4
Ambystoma-mabeei	AMPHIBIA	1.927205636	2.298387097	922.3333333	2469.666667	2	3
Ambystoma-macrodactylum	AMPHIBIA	4.463915618	5.319147388	1702.727273	5398.363636	4	11
Ambystoma-maculatum	AMPHIBIA	2.202683414	2.767733836	1054.25	2817	2	4
Ambystoma-mexicanum	AMPHIBIA	2.203753351	2.302209945	300.3333333	786.6666667	1	3
Ambystoma-opacum	AMPHIBIA	2.161180477	2.46940445	1024	2994.666667	2	3
Ambystoma-ordinarium	AMPHIBIA	2.699526066	3.269808028	2242.25	8129.75	3	4
Ambystoma-rosaceum	AMPHIBIA	3.848484848	4.903020341	2915	10855.85714	3	7
Ambystoma-talpoideum	AMPHIBIA	2.199621315	2.76290805	1109.75	3389.75	2	4
Ambystoma-taylori	AMPHIBIA	0.75	0.989795918	0	0	1	1
Ambystoma-texanum	AMPHIBIA	3.309005165	3.981521658	1469.857143	5694.428571	4	7
Ambystoma-tigrinum	AMPHIBIA	5.972920696	7.472280015	1929.25	6611.625	4	16
Ambystoma-velasci	AMPHIBIA	4.660792952	6.112754628	3325	12098.8	3	10
Ameerega-bassleri	AMPHIBIA	1.829324345	2.070295405	1805.333333	7827	2	3
Ameerega-bilinguis	AMPHIBIA	2.667851771	3.660783877	2440.4	9559.6	2	5
Ameerega-boehmei	AMPHIBIA	1.765409934	1.886435331	640.5	1968	2	2
Ameerega-boliviana	AMPHIBIA	3.311547579	4.255724056	2926.428571	10950	4	7
Ameerega-braccata	AMPHIBIA	3.302764228	3.309149157	1771.25	6127.75	4	4
Ameerega-cainarachi	AMPHIBIA	2.001293183	2.463275386	1807.666667	7604.666667	2	3
Ameerega-flavopicta	AMPHIBIA	3.551342812	4.249824684	3231	13241.71429	4	7
Ameerega-hahneli	AMPHIBIA	1.629213483	1.87743319	1177	5320	2	2
Ameerega-ingeri	AMPHIBIA	0.999564839	0.999904086	0	0	1	1
Ameerega-macero	AMPHIBIA	1.527873365	1.765058521	1151.5	5361	2	2
Ameerega-parvula	AMPHIBIA	1.527873365	1.765058521	1151.5	5361	2	2
Ameerega-petersi	AMPHIBIA	1.527873365	1.765058521	1151.5	5361	2	2
Ameerega-picta	AMPHIBIA	1.629213483	1.87743319	1177	5320	2	2
Ameerega-planipaleae	AMPHIBIA	1.520454008	1.772545613	1101.5	4447	2	2
Ameerega-simulans	AMPHIBIA	1.527873365	1.765058521	1151.5	5361	2	2
Ameerega-trivittata	AMPHIBIA	1.629213483	1.87743319	1177	5320	2	2
Ameerega-yungicola	AMPHIBIA	0.999538745	0.999873801	0	0	1	1
Amietia-angolensis	AMPHIBIA	6.131119625	7.277596573	3807.210526	16816.36842	5	19
Amietia-dracomontana	AMPHIBIA	2.565870307	2.656331878	1530.333333	3794	2	3
Amietia-fuscigula	AMPHIBIA	7.232566905	7.702440701	2756.833333	10832.88889	3	18
Amietia-inyangae	AMPHIBIA	1.856192851	1.903027737	1031	2133.5	2	2
Amietia-johnstoni	AMPHIBIA	2.159816353	2.531509449	1769.333333	6457.333333	3	3
Amietia-vandijki	AMPHIBIA	2.618202417	2.646667652	1429.333333	3715.333333	3	3
Amietia-vertebralis	AMPHIBIA	2.516487214	2.471343028	1503.333333	3441	2	3
Amietophrynus-asmarae	AMPHIBIA	2.896240602	3.524762326	1262	4568.8	2	5
Amietophrynus-blanfordii	AMPHIBIA	4.320717131	3.879874422	1112.333333	5810.666667	3	6
Amietophrynus-brauni	AMPHIBIA	2.722410644	3.026657435	2641.8	11709	3	5
Amietophrynus-camerunensis	AMPHIBIA	2.154739336	2.373660627	1625.333333	7052	2	3
Amietophrynus-djohongensis	AMPHIBIA	2.896694215	3.312863071	2755	11149	3	5
Amietophrynus-fuliginatus	AMPHIBIA	1.545902373	1.503215259	1220	4618	1	2
Amietophrynus-funereus	AMPHIBIA	1.527873365	1.765058521	1151.5	5361	2	2
Amietophrynus-garmani	AMPHIBIA	4.117875944	4.611506435	1514.555556	7952.333333	5	9
Amietophrynus-gracilipes	AMPHIBIA	3.025081788	2.819587373	1858	9151.25	3	4
Amietophrynus-gutturalis	AMPHIBIA	7.127438231	8.35154022	3366.714286	16081.61905	5	21
Amietophrynus-kassasii	AMPHIBIA	3.087350079	4.179627705	1318.714286	4808.142857	3	7
Amietophrynus-kerinyagae	AMPHIBIA	4.170498084	4.815945668	2838.142857	9552.857143	4	7
Amietophrynus-kisoloensis	AMPHIBIA	2.048835889	2.467028349	1848	6400.666667	2	3
Amietophrynus-latifrons	AMPHIBIA	1.545902373	1.503215259	1220	4618	1	2
Amietophrynus-lemairii	AMPHIBIA	2.565587734	2.904391155	920	3058.5	2	4
Amietophrynus-maculatus	AMPHIBIA	4.504016064	5.472031577	3491	15183.1	4	10
Amietophrynus-pantherinus	AMPHIBIA	3.678616466	4.903347478	1487.9	5796.3	4	10
Amietophrynus-pardalis	AMPHIBIA	3.685106383	3.777315744	947.5	6457.333333	4	6
Amietophrynus-perreti	AMPHIBIA	2.746524064	2.60980049	1634	7666.333333	2	3
Amietophrynus-poweri	AMPHIBIA	3.525641026	4.760764357	1458.8	7538.7	3	10
Amietophrynus-rangeri	AMPHIBIA	5.311938383	6.022931884	1680.5	9857.666667	4	12
Amietophrynus-regularis	AMPHIBIA	6.090197307	6.018316813	2709.833333	11096.91667	5	12
Amietophrynus-steindachneri	AMPHIBIA	4.64564091	6.096593657	2698.166667	12294.83333	5	12
Amietophrynus-superciliaris	AMPHIBIA	2.74504991	3.262872224	2133.8	9089.6	3	5
Amietophrynus-taiensis	AMPHIBIA	1.527873365	1.765058521	1151.5	5361	2	2
Amietophrynus-togoensis	AMPHIBIA	1.527873365	1.765058521	1151.5	5361	2	2
Amietophrynus-tuberosus	AMPHIBIA	2.310092503	2.661092764	2373.25	9934.75	2	4
Amietophrynus-villiersi	AMPHIBIA	2.159816353	2.531509449	1769.333333	6457.333333	3	3
Amietophrynus-xeros	AMPHIBIA	4.344912281	4.349549861	1362.857143	5528.714286	3	7
Amolops-archotaphus	AMPHIBIA	1.829324345	2.070295405	1805.333333	7827	2	3
Amolops-chunganensis	AMPHIBIA	2.387225549	2.715206238	2433.5	10448.75	2	4
Amolops-cremnobatus	AMPHIBIA	1.829324345	2.070295405	1805.333333	7827	2	3
Amolops-daiyunensis	AMPHIBIA	1.829324345	2.070295405	1805.333333	7827	2	3
Amolops-formosus	AMPHIBIA	1.829324345	2.070295405	1805.333333	7827	2	3
Amolops-gerbillus	AMPHIBIA	2.201964133	2.378087085	1877.666667	7459.666667	3	3
Amolops-granulosus	AMPHIBIA	1.793563579	1.863341646	1012	2597.5	2	2
Amolops-hainanensis	AMPHIBIA	1.527873365	1.765058521	1151.5	5361	2	2
Amolops-hongkongensis	AMPHIBIA	1.527873365	1.765058521	1151.5	5361	2	2
Amolops-jinjiangensis	AMPHIBIA	1.793563579	1.863341646	1012	2597.5	2	2
Amolops-kangtingensis	AMPHIBIA	1.793563579	1.863341646	1012	2597.5	2	2
Amolops-larutensis	AMPHIBIA	1.829324345	2.070295405	1805.333333	7827	2	3
Amolops-lifanensis	AMPHIBIA	1.793563579	1.863341646	1012	2597.5	2	2
Amolops-loloensis	AMPHIBIA	2.552679548	2.53539823	1420.666667	3818	3	3
Amolops-mantzorum	AMPHIBIA	2.551862673	2.433297759	1417.333333	3582.333333	3	3
Amolops-marmoratus	AMPHIBIA	1.829324345	2.070295405	1805.333333	7827	2	3
Amolops-mengyangensis	AMPHIBIA	1.829324345	2.070295405	1805.333333	7827	2	3
Amolops-monticola	AMPHIBIA	1.793563579	1.863341646	1012	2597.5	2	2
Amolops-panhai	AMPHIBIA	1.829324345	2.070295405	1805.333333	7827	2	3
Amolops-ricketti	AMPHIBIA	1.829324345	2.070295405	1805.333333	7827	2	3
Amolops-torrentis	AMPHIBIA	2.125571726	2.307583691	1805.666667	7409.333333	3	3
Amolops-tuberodepressus	AMPHIBIA	1.520454008	1.772545613	1101.5	4447	2	2
Amolops-viridimaculatus	AMPHIBIA	1.520454008	1.772545613	1101.5	4447	2	2
Amolops-wuyiensis	AMPHIBIA	2.201964133	2.378087085	1877.666667	7459.666667	3	3
Amphiuma-means	AMPHIBIA	2.401821286	2.527696134	1848.25	3379.5	1	4
Amphiuma-pholeter	AMPHIBIA	1.759452647	1.706336385	1055.5	1968.5	1	2
Amphiuma-tridactylum	AMPHIBIA	3.142284569	3.312964294	2139	3861.8	1	5
Anaxyrus-americanus	AMPHIBIA	4.727816092	6.169891581	1872.076923	7667.153846	5	13
Anaxyrus-boreas	AMPHIBIA	6.277150104	7.077879438	2861.875	8678.3125	4	16
Anaxyrus-californicus	AMPHIBIA	3.291286912	3.392454679	1572.25	3663.25	3	4
Anaxyrus-canorus	AMPHIBIA	4.199121523	4.293324343	2186	4885	2	7
Anaxyrus-cognatus	AMPHIBIA	4.89334638	5.703368582	1327.333333	4794.777778	3	9
Anaxyrus-compactilis	AMPHIBIA	1.867269439	2.422671353	800.3333333	3239	2	3
Anaxyrus-debilis	AMPHIBIA	3.136663525	3.269893743	1134.5	2404.25	3	4
Anaxyrus-exsul	AMPHIBIA	1.885714286	1.925037481	94	309.5	2	2
Anaxyrus-fowleri	AMPHIBIA	4.053902302	5.44900447	1632.7	5475.5	3	10
Anaxyrus-hemiophrys	AMPHIBIA	4.106928314	5.01049749	1552.6	4394.5	3	10
Anaxyrus-houstonensis	AMPHIBIA	2.38381201	2.394022524	531	3219.333333	3	3
Anaxyrus-kelloggi	AMPHIBIA	5.177312578	6.18654466	2919.375	12470.75	3	8
Anaxyrus-mexicanus	AMPHIBIA	1.793563579	1.863341646	1012	2597.5	2	2
Anaxyrus-microscaphus	AMPHIBIA	4.877980551	5.995595668	2647.545455	6290.909091	2	11
Anaxyrus-nelsoni	AMPHIBIA	0.994382022	0.996503497	0	0	1	1
Anaxyrus-punctatus	AMPHIBIA	4.244488978	4.200201207	1350.166667	3182	3	6
Anaxyrus-quercicus	AMPHIBIA	4.116055046	5.045159741	1510.555556	5614.333333	4	9
Anaxyrus-retiformis	AMPHIBIA	4.178902954	5.176410125	1413.625	4064.125	3	8
Anaxyrus-speciosus	AMPHIBIA	3.559606173	4.502668332	1375.142857	4407.857143	3	7
Anaxyrus-terrestris	AMPHIBIA	4.269916222	5.675841637	1789.916667	7234.916667	4	12
Anaxyrus-woodhousii	AMPHIBIA	5.649617717	8.04831564	1960.555556	9369.777778	4	18
Andinophryne-colomai	AMPHIBIA	1.545902373	1.503215259	1220	4618	1	2
Andrias-davidianus	AMPHIBIA	2.387225549	2.715206238	2433.5	10448.75	2	4
Andrias-japonicus	AMPHIBIA	1.793563579	1.863341646	1012	2597.5	2	2
Aneides-aeneus	AMPHIBIA	1.859491779	1.842480925	288.5	1712.5	1	2
Aneides-ferreus	AMPHIBIA	0.997946612	0.999588308	0	0	1	1
Aneides-flavipunctatus	AMPHIBIA	1.674486804	1.677169421	231	1312	2	2
Aneides-hardii	AMPHIBIA	0.997946612	0.999588308	0	0	1	1
Aneides-lugubris	AMPHIBIA	2.778461538	2.686311787	579	2366.333333	3	3
Aneides-vagrans	AMPHIBIA	0.997946612	0.999588308	0	0	1	1
Anhydrophryne-hewitti	AMPHIBIA	2.551862673	2.433297759	1417.333333	3582.333333	3	3
Anhydrophryne-ngongoniensis	AMPHIBIA	2.159816353	2.531509449	1769.333333	6457.333333	3	3
Anhydrophryne-rattrayi	AMPHIBIA	1.674486804	1.677169421	231	1312	2	2
Anodonthyla-boulengerii	AMPHIBIA	1.984251969	1.958153224	1751	6946.333333	1	3
Anodonthyla-hutchisoni	AMPHIBIA	0.999564839	0.999904086	0	0	1	1
Anodonthyla-montana	AMPHIBIA	3.48852459	3.378111149	1329.25	3488.5	3	4
Anodonthyla-rouxae	AMPHIBIA	0.999538745	0.999873801	0	0	1	1
Anodonthyla-vallani	AMPHIBIA	0.999538745	0.999873801	0	0	1	1
Anomaloglossus-beebei	AMPHIBIA	1.629213483	1.87743319	1177	5320	2	2
Anomaloglossus-breweri	AMPHIBIA	1.985790409	1.966400376	1111	4114	1	2
Anomaloglossus-degranvillei	AMPHIBIA	1.527873365	1.765058521	1151.5	5361	2	2
Anomaloglossus-kaiei	AMPHIBIA	0.999564839	0.999904086	0	0	1	1
Anomaloglossus-murisipanensis	AMPHIBIA	1.520454008	1.772545613	1101.5	4447	2	2
Anomaloglossus-stepheni	AMPHIBIA	0.999564839	0.999904086	0	0	1	1
Anotheca-spinosa	AMPHIBIA	2.147040879	2.022310757	1881	7271.333333	2	3
Ansonia-albomaculata	AMPHIBIA	1.527873365	1.765058521	1151.5	5361	2	2
Ansonia-fuliginea	AMPHIBIA	1.520454008	1.772545613	1101.5	4447	2	2
Ansonia-guibei	AMPHIBIA	1.520454008	1.772545613	1101.5	4447	2	2
Ansonia-hanitschi	AMPHIBIA	1.829324345	2.070295405	1805.333333	7827	2	3
Ansonia-latidisca	AMPHIBIA	1.527873365	1.765058521	1151.5	5361	2	2
Ansonia-longidigita	AMPHIBIA	1.527873365	1.765058521	1151.5	5361	2	2
Ansonia-malayana	AMPHIBIA	1.829324345	2.070295405	1805.333333	7827	2	3
Ansonia-mcgregori	AMPHIBIA	3.317487717	3.733138817	2909.833333	12178.5	2	6
Ansonia-minuta	AMPHIBIA	1.527873365	1.765058521	1151.5	5361	2	2
Ansonia-muelleri	AMPHIBIA	3.317487717	3.733138817	2909.833333	12178.5	2	6
Ansonia-platysoma	AMPHIBIA	1.829324345	2.070295405	1805.333333	7827	2	3
Ansonia-siamensis	AMPHIBIA	1.527873365	1.765058521	1151.5	5361	2	2
Ansonia-spinulifer	AMPHIBIA	1.527873365	1.765058521	1151.5	5361	2	2
Ansonia-tiomanica	AMPHIBIA	3.017214397	3.449576387	2256.75	8964	2	4
Ansonia-torrentis	AMPHIBIA	1.520454008	1.772545613	1101.5	4447	2	2
Aparasphenodon-brunoi	AMPHIBIA	2.28599557	2.488605478	1742.666667	7121	3	3
Aparasphenodon-venezolanus	AMPHIBIA	3.450608931	3.994792336	2174.2	9317.2	2	5
Aphantophryne-pansa	AMPHIBIA	0.997101449	0.999120493	0	0	1	1
Aplastodiscus-albofrenatus	AMPHIBIA	2.801308004	3.016394137	2314.6	9520.8	4	5
Aplastodiscus-albosignatus	AMPHIBIA	1.829324345	2.070295405	1805.333333	7827	2	3
Aplastodiscus-arildae	AMPHIBIA	1.527873365	1.765058521	1151.5	5361	2	2
Aplastodiscus-callipygius	AMPHIBIA	1.520454008	1.772545613	1101.5	4447	2	2
Aplastodiscus-cavicola	AMPHIBIA	1.527873365	1.765058521	1151.5	5361	2	2
Aplastodiscus-cochranae	AMPHIBIA	2.081632653	2.347615979	1661.666667	6972.666667	2	3
Aplastodiscus-ehrhardti	AMPHIBIA	1.629213483	1.87743319	1177	5320	2	2
Aplastodiscus-eugenioi	AMPHIBIA	1.527873365	1.765058521	1151.5	5361	2	2
Aplastodiscus-ibirapitanga	AMPHIBIA	2.66360815	3.219006228	2466.8	9906.2	3	5
Aplastodiscus-leucopygius	AMPHIBIA	3.422778257	4.000233345	2809	11021.71429	4	7
Aplastodiscus-perviridis	AMPHIBIA	3.190050239	3.677258251	2979.833333	12330.66667	4	6
Aplastodiscus-weygoldti	AMPHIBIA	1.527873365	1.765058521	1151.5	5361	2	2
Arcovomer-passarellii	AMPHIBIA	1.629213483	1.87743319	1177	5320	2	2
Argenteohyla-siemersi	AMPHIBIA	2.617563739	2.740896359	572	2487	2	3
Arlequinus-krebsi	AMPHIBIA	1.707040573	1.900191619	1186	5403.5	2	2
Aromobates-alboguttatus	AMPHIBIA	1.520454008	1.772545613	1101.5	4447	2	2
Aromobates-duranti	AMPHIBIA	2.802193167	3.131301623	2137.5	7484	4	4
Aromobates-haydeeae	AMPHIBIA	2.597771678	3.182025399	2474.75	8377.25	3	4
