term,type,estimate,95%CI,N
Intercept (Oscines & Resident),fixed,0.026,-0.225 - 0.269,4874
Clade S r O,fixed,-0.855,-1.3 - -0.407,4874
Habitat generalism,fixed,0.058,0.032 - 0.084,4874
Migration,fixed,0.051,0.021 - 0.081,4874
Habitat generalism S r O,fixed,-0.031,-0.095 - 0.034,4874
Migration S r O,fixed,0.01,-0.091 - 0.111,4874
Habitat generalism x Migration,fixed,-0.014,-0.034 - 0.006,4874
Habitat generalism x Migration S r O,fixed,-0.007,-0.082 - 0.066,4874
genus:family:superfamily:parvorder:infraorder (Intercept),random,27%,26% - 28%,4874
family:superfamily:parvorder:infraorder (Intercept),random,15%,13% - 17%,4874
superfamily:parvorder:infraorder (Intercept),random,2%,2% - 3%,4874
parvorder,random,4%,2% - 7%,4874
infraorder,random,0%,0% - 0%,4874
residual variance,random,52%,48% - 56%,4874
